Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan,SDR,Rho
f.orlib.11x5.test.1,f,ORLIB,test,1,11,5,55,10176,SPT,NA
f.orlib.13x4.test.2,f,ORLIB,test,2,13,4,52,9090,SPT,NA
f.orlib.12x5.test.3,f,ORLIB,test,3,12,5,60,10157,SPT,NA
f.orlib.14x4.test.4,f,ORLIB,test,4,14,4,56,11192,SPT,NA
f.orlib.10x6.test.5,f,ORLIB,test,5,10,6,60,9974,SPT,NA
f.orlib.8x9.test.6,f,ORLIB,test,6,8,9,72,10886,SPT,NA
f.orlib.7x7.test.7,f,ORLIB,test,7,7,7,49,8290,SPT,NA
f.orlib.8x8.test.8,f,ORLIB,test,8,8,8,64,12297,SPT,NA
f.orlib.100x10.test.9,f,ORLIB,test,9,100,10,1000,578,SPT,NA
f.orlib.20x10.test.10,f,ORLIB,test,10,20,10,200,181,SPT,NA
f.orlib.20x5.test.11,f,ORLIB,test,11,20,5,100,1962,SPT,NA
f.orlib.20x5.test.12,f,ORLIB,test,12,20,5,100,1592,SPT,NA
f.orlib.20x5.test.13,f,ORLIB,test,13,20,5,100,1683,SPT,NA
f.orlib.20x10.test.14,f,ORLIB,test,14,20,10,200,2101,SPT,NA
f.orlib.20x10.test.15,f,ORLIB,test,15,20,10,200,2090,SPT,NA
f.orlib.20x10.test.16,f,ORLIB,test,16,20,10,200,2114,SPT,NA
f.orlib.20x15.test.17,f,ORLIB,test,17,20,15,300,2461,SPT,NA
f.orlib.20x15.test.18,f,ORLIB,test,18,20,15,300,2773,SPT,NA
f.orlib.20x15.test.19,f,ORLIB,test,19,20,15,300,2816,SPT,NA
f.orlib.30x10.test.20,f,ORLIB,test,20,30,10,300,2944,SPT,NA
f.orlib.30x10.test.21,f,ORLIB,test,21,30,10,300,2849,SPT,NA
f.orlib.30x10.test.22,f,ORLIB,test,22,30,10,300,3102,SPT,NA
f.orlib.30x15.test.23,f,ORLIB,test,23,30,15,450,3451,SPT,NA
f.orlib.30x15.test.24,f,ORLIB,test,24,30,15,450,3404,SPT,NA
f.orlib.30x15.test.25,f,ORLIB,test,25,30,15,450,3223,SPT,NA
f.orlib.50x10.test.26,f,ORLIB,test,26,50,10,500,4508,SPT,NA
f.orlib.50x10.test.27,f,ORLIB,test,27,50,10,500,4558,SPT,NA
f.orlib.50x10.test.28,f,ORLIB,test,28,50,10,500,4541,SPT,NA
f.orlib.75x20.test.29,f,ORLIB,test,29,75,20,1500,7818,SPT,NA
f.orlib.75x20.test.30,f,ORLIB,test,30,75,20,1500,7670,SPT,NA
f.orlib.75x20.test.31,f,ORLIB,test,31,75,20,1500,7175,SPT,NA
