trainingdata,generation,weight,feature
fjc,1,0.206954,1
fjc,1,0.269953,2
fjc,1,0.071497,3
fjc,1,0.311294,4
fjc,1,0.222234,5
fjc,1,-0.075672,6
fjc,1,0.129870,7
fjc,1,0.162212,8
fjc,1,0.343600,9
fjc,1,0.311525,10
fjc,1,-0.037939,11
fjc,1,0.354963,12
fjc,1,0.349297,13
fjc,2,0.072399,1
fjc,2,0.141678,2
fjc,2,-0.001172,3
fjc,2,-0.154375,4
fjc,2,0.152009,5
fjc,2,0.010588,6
fjc,2,0.037008,7
fjc,2,0.198950,8
fjc,2,0.221527,9
fjc,2,-0.010848,10
fjc,2,0.086804,11
fjc,2,0.206717,12
fjc,2,0.181120,13
fjc,3,-0.047056,1
fjc,3,-0.001240,2
fjc,3,-0.118323,3
fjc,3,-0.052471,4
fjc,3,0.223894,5
fjc,3,-0.134199,6
fjc,3,-0.001044,7
fjc,3,0.138927,8
fjc,3,0.126437,9
fjc,3,-0.033466,10
fjc,3,-0.125652,11
fjc,3,0.219898,12
fjc,3,0.337538,13
fjc,4,-0.150618,1
fjc,4,0.316436,2
fjc,4,-0.135288,3
fjc,4,0.054424,4
fjc,4,0.083610,5
fjc,4,-0.104493,6
fjc,4,0.012667,7
fjc,4,0.144617,8
fjc,4,0.197552,9
fjc,4,0.149851,10
fjc,4,-0.247924,11
fjc,4,-0.117027,12
fjc,4,0.180344,13
fjc,5,-0.184246,1
fjc,5,0.414353,2
fjc,5,-0.237890,3
fjc,5,0.057747,4
fjc,5,0.171268,5
fjc,5,-0.082972,6
fjc,5,-0.073499,7
fjc,5,0.130207,8
fjc,5,0.050221,9
fjc,5,0.178651,10
fjc,5,-0.283839,11
fjc,5,0.169926,12
fjc,5,0.016631,13
fjc,6,-0.158942,1
fjc,6,-0.046131,2
fjc,6,-0.157748,3
fjc,6,-0.082435,4
fjc,6,0.199908,5
fjc,6,-0.097730,6
fjc,6,-0.251617,7
fjc,6,0.038963,8
fjc,6,-0.125520,9
fjc,6,0.029752,10
fjc,6,-0.302749,11
fjc,6,0.223144,12
fjc,6,-0.016211,13
fjc,7,0.128758,1
fjc,7,0.027111,2
fjc,7,-0.335229,3
fjc,7,-0.165863,4
fjc,7,0.308426,5
fjc,7,0.055779,6
fjc,7,0.016724,7
fjc,7,0.177668,8
fjc,7,-0.023649,9
fjc,7,0.071091,10
fjc,7,-0.395007,11
fjc,7,0.106360,12
fjc,7,-0.176661,13
fjc,8,0.052123,1
fjc,8,-0.356615,2
fjc,8,-0.248211,3
fjc,8,-0.254622,4
fjc,8,0.109988,5
fjc,8,0.144083,6
fjc,8,-0.101462,7
fjc,8,0.136934,8
fjc,8,0.096717,9
fjc,8,0.127072,10
fjc,8,-0.150507,11
fjc,8,-0.007682,12
fjc,8,-0.221022,13
fjc,9,-0.104788,1
fjc,9,-0.240144,2
fjc,9,-0.226110,3
fjc,9,-0.006719,4
fjc,9,0.216670,5
fjc,9,0.018480,6
fjc,9,0.013045,7
fjc,9,0.210296,8
fjc,9,0.101251,9
fjc,9,0.056175,10
fjc,9,-0.040953,11
fjc,9,-0.044635,12
fjc,9,-0.229280,13
fjc,10,-0.169083,1
fjc,10,-0.239938,2
fjc,10,-0.480783,3
fjc,10,-0.183508,4
fjc,10,0.041659,5
fjc,10,0.062705,6
fjc,10,-0.025867,7
fjc,10,0.166177,8
fjc,10,0.250348,9
fjc,10,-0.003999,10
fjc,10,0.104267,11
fjc,10,-0.215234,12
fjc,10,-0.003297,13
fjc,11,-0.300253,1
fjc,11,-0.202418,2
fjc,11,-0.428079,3
fjc,11,-0.119709,4
fjc,11,-0.022104,5
fjc,11,0.091357,6
fjc,11,0.075711,7
fjc,11,0.277712,8
fjc,11,0.218340,9
fjc,11,-0.107008,10
fjc,11,0.026661,11
fjc,11,-0.414055,12
fjc,11,0.071528,13
fjc,12,-0.397957,1
fjc,12,-0.103777,2
fjc,12,-0.274433,3
fjc,12,-0.202534,4
fjc,12,0.094747,5
fjc,12,0.092569,6
fjc,12,0.019435,7
fjc,12,0.028632,8
fjc,12,0.067452,9
fjc,12,-0.015531,10
fjc,12,-0.139835,11
fjc,12,-0.404773,12
fjc,12,0.040167,13
fjc,13,-0.427553,1
fjc,13,0.010222,2
fjc,13,-0.235578,3
fjc,13,-0.285562,4
fjc,13,-0.161296,5
fjc,13,0.023953,6
fjc,13,-0.012866,7
fjc,13,-0.062918,8
fjc,13,-0.122323,9
fjc,13,-0.046517,10
fjc,13,-0.130965,11
fjc,13,-0.365328,12
fjc,13,0.003815,13
fjc,14,-0.346575,1
fjc,14,0.009380,2
fjc,14,-0.262590,3
fjc,14,-0.457195,4
fjc,14,-0.228827,5
fjc,14,0.137326,6
fjc,14,0.100359,7
fjc,14,-0.094215,8
fjc,14,-0.218675,9
fjc,14,-0.128103,10
fjc,14,-0.015149,11
fjc,14,-0.151547,12
fjc,14,0.015702,13
fjc,15,-0.291621,1
fjc,15,-0.208566,2
fjc,15,-0.073405,3
fjc,15,-0.417360,4
fjc,15,-0.280695,5
fjc,15,0.022899,6
fjc,15,0.015404,7
fjc,15,-0.107763,8
fjc,15,-0.228040,9
fjc,15,-0.300513,10
fjc,15,-0.100231,11
fjc,15,-0.191924,12
fjc,15,0.058967,13
fjc,16,-0.145513,1
fjc,16,-0.065310,2
fjc,16,-0.200825,3
fjc,16,-0.368062,4
fjc,16,-0.241324,5
fjc,16,0.007416,6
fjc,16,0.264292,7
fjc,16,0.162026,8
fjc,16,-0.168669,9
fjc,16,-0.015524,10
fjc,16,-0.148133,11
fjc,16,-0.054061,12
fjc,16,0.154569,13
fjc,17,-0.236741,1
fjc,17,-0.195950,2
fjc,17,-0.168321,3
fjc,17,-0.387225,4
fjc,17,-0.331104,5
fjc,17,0.092586,6
fjc,17,0.304642,7
fjc,17,0.201092,8
fjc,17,-0.142036,9
fjc,17,0.159415,10
fjc,17,-0.002261,11
fjc,17,-0.080211,12
fjc,17,0.082105,13
fjc,18,-0.364272,1
fjc,18,-0.041426,2
fjc,18,-0.229876,3
fjc,18,-0.513527,4
fjc,18,-0.332374,5
fjc,18,0.048730,6
fjc,18,0.177146,7
fjc,18,0.083279,8
fjc,18,-0.231514,9
fjc,18,-0.095062,10
fjc,18,0.176525,11
fjc,18,-0.013298,12
fjc,18,0.222221,13
fjc,19,-0.409826,1
fjc,19,-0.129359,2
fjc,19,-0.289426,3
fjc,19,-0.383819,4
fjc,19,-0.457803,5
fjc,19,0.036785,6
fjc,19,0.120328,7
fjc,19,0.065941,8
fjc,19,-0.171544,9
fjc,19,0.013826,10
fjc,19,0.027939,11
fjc,19,-0.127804,12
fjc,19,0.146659,13
fjc,20,-0.518298,1
fjc,20,-0.249902,2
fjc,20,-0.241007,3
fjc,20,-0.374310,4
fjc,20,-0.297035,5
fjc,20,-0.013081,6
fjc,20,0.068215,7
fjc,20,0.057194,8
fjc,20,-0.117372,9
fjc,20,-0.018113,10
fjc,20,-0.003510,11
fjc,20,0.032610,12
fjc,20,0.238855,13
fjc,21,-0.450616,1
fjc,21,-0.262267,2
fjc,21,-0.327952,3
fjc,21,-0.416732,4
fjc,21,-0.373288,5
fjc,21,0.037039,6
fjc,21,-0.043185,7
fjc,21,0.111407,8
fjc,21,-0.237384,9
fjc,21,-0.057212,10
fjc,21,0.056306,11
fjc,21,0.065141,12
fjc,21,0.229743,13
fjc,22,-0.422798,1
fjc,22,-0.278629,2
fjc,22,-0.423775,3
fjc,22,-0.376372,4
fjc,22,-0.398746,5
fjc,22,0.122941,6
fjc,22,0.020397,7
fjc,22,0.180887,8
fjc,22,-0.215882,9
fjc,22,0.003197,10
fjc,22,0.029285,11
fjc,22,-0.041603,12
fjc,22,0.174722,13
fjc,23,-0.271870,1
fjc,23,-0.300887,2
fjc,23,-0.373609,3
fjc,23,-0.394201,4
fjc,23,-0.489589,5
fjc,23,0.095716,6
fjc,23,-0.003915,7
fjc,23,0.191743,8
fjc,23,-0.117602,9
fjc,23,-0.064217,10
fjc,23,0.033920,11
fjc,23,0.113241,12
fjc,23,0.212224,13
fjc,24,-0.220647,1
fjc,24,-0.254374,2
fjc,24,-0.457713,3
fjc,24,-0.288007,4
fjc,24,-0.532573,5
fjc,24,0.029136,6
fjc,24,-0.160125,7
fjc,24,0.286011,8
fjc,24,-0.074469,9
fjc,24,-0.094472,10
fjc,24,0.004398,11
fjc,24,0.041433,12
fjc,24,0.252661,13
fjc,25,-0.207971,1
fjc,25,-0.284855,2
fjc,25,-0.385090,3
fjc,25,-0.336472,4
fjc,25,-0.509421,5
fjc,25,0.015643,6
fjc,25,-0.181425,7
fjc,25,0.190790,8
fjc,25,-0.099971,9
fjc,25,-0.116315,10
fjc,25,0.053272,11
fjc,25,0.106404,12
fjc,25,0.260265,13
fjc,26,-0.282142,1
fjc,26,-0.206010,2
fjc,26,-0.338470,3
fjc,26,-0.315317,4
fjc,26,-0.542081,5
fjc,26,-0.024951,6
fjc,26,-0.217058,7
fjc,26,0.220167,8
fjc,26,0.000449,9
fjc,26,-0.136511,10
fjc,26,0.001834,11
fjc,26,0.139693,12
fjc,26,0.318515,13
fjc,27,-0.369129,1
fjc,27,-0.159546,2
fjc,27,-0.378158,3
fjc,27,-0.230362,4
fjc,27,-0.512883,5
fjc,27,-0.069662,6
fjc,27,-0.264541,7
fjc,27,0.232273,8
fjc,27,0.055861,9
fjc,27,-0.113089,10
fjc,27,0.011194,11
fjc,27,0.099976,12
fjc,27,0.332461,13
fjc,28,-0.434788,1
fjc,28,-0.121806,2
fjc,28,-0.286600,3
fjc,28,-0.221073,4
fjc,28,-0.495630,5
fjc,28,-0.067910,6
fjc,28,-0.213605,7
fjc,28,0.238272,8
fjc,28,0.072081,9
fjc,28,-0.058738,10
fjc,28,-0.100080,11
fjc,28,0.217532,12
fjc,28,0.334732,13
fjc,29,-0.390659,1
fjc,29,-0.182759,2
fjc,29,-0.277487,3
fjc,29,-0.198946,4
fjc,29,-0.581956,5
fjc,29,-0.062440,6
fjc,29,-0.196047,7
fjc,29,0.267622,8
fjc,29,0.100421,9
fjc,29,0.018708,10
fjc,29,-0.017589,11
fjc,29,0.236334,12
fjc,29,0.284523,13
fjc,30,-0.354841,1
fjc,30,-0.210680,2
fjc,30,-0.320920,3
fjc,30,-0.243371,4
fjc,30,-0.560905,5
fjc,30,-0.056108,6
fjc,30,-0.193360,7
fjc,30,0.260436,8
fjc,30,0.228337,9
fjc,30,0.036387,10
fjc,30,-0.026934,11
fjc,30,0.130017,12
fjc,30,0.302095,13
fjc,31,-0.380116,1
fjc,31,-0.237624,2
fjc,31,-0.258200,3
fjc,31,-0.273155,4
fjc,31,-0.509312,5
fjc,31,-0.088976,6
fjc,31,-0.251001,7
fjc,31,0.254021,8
fjc,31,0.202650,9
fjc,31,-0.037929,10
fjc,31,0.032514,11
fjc,31,0.088223,12
fjc,31,0.332078,13
fjc,32,-0.386222,1
fjc,32,-0.163656,2
fjc,32,-0.276393,3
fjc,32,-0.187881,4
fjc,32,-0.563511,5
fjc,32,-0.080955,6
fjc,32,-0.284319,7
fjc,32,0.228168,8
fjc,32,0.203839,9
fjc,32,-0.050314,10
fjc,32,0.009670,11
fjc,32,0.086456,12
fjc,32,0.320726,13
fjc,33,-0.313365,1
fjc,33,-0.206347,2
fjc,33,-0.259809,3
fjc,33,-0.249508,4
fjc,33,-0.597558,5
fjc,33,-0.102533,6
fjc,33,-0.247064,7
fjc,33,0.244355,8
fjc,33,0.088899,9
fjc,33,-0.034680,10
fjc,33,0.104081,11
fjc,33,0.152030,12
fjc,33,0.356200,13
fjc,34,-0.348868,1
fjc,34,-0.231036,2
fjc,34,-0.285142,3
fjc,34,-0.201075,4
fjc,34,-0.556431,5
fjc,34,-0.075568,6
fjc,34,-0.277070,7
fjc,34,0.292202,8
fjc,34,0.119501,9
fjc,34,-0.077622,10
fjc,34,0.124209,11
fjc,34,0.123678,12
fjc,34,0.342483,13
fjc,35,-0.319740,1
fjc,35,-0.168106,2
fjc,35,-0.272058,3
fjc,35,-0.233374,4
fjc,35,-0.597412,5
fjc,35,-0.059679,6
fjc,35,-0.235545,7
fjc,35,0.328035,8
fjc,35,0.066155,9
fjc,35,-0.031630,10
fjc,35,0.078799,11
fjc,35,0.214656,12
fjc,35,0.320501,13
fjc,36,-0.311457,1
fjc,36,-0.193000,2
fjc,36,-0.271993,3
fjc,36,-0.241721,4
fjc,36,-0.603498,5
fjc,36,-0.058149,6
fjc,36,-0.239215,7
fjc,36,0.332081,8
fjc,36,0.076666,9
fjc,36,-0.007741,10
fjc,36,0.071143,11
fjc,36,0.183736,12
fjc,36,0.306392,13
fjc,37,-0.318633,1
fjc,37,-0.140380,2
fjc,37,-0.231545,3
fjc,37,-0.297263,4
fjc,37,-0.599848,5
fjc,37,-0.061055,6
fjc,37,-0.269996,7
fjc,37,0.316218,8
fjc,37,0.035896,9
fjc,37,0.006118,10
fjc,37,0.077888,11
fjc,37,0.197274,12
fjc,37,0.318292,13
fjc,38,-0.263367,1
fjc,38,-0.177648,2
fjc,38,-0.276623,3
fjc,38,-0.293118,4
fjc,38,-0.597402,5
fjc,38,-0.047782,6
fjc,38,-0.257109,7
fjc,38,0.352022,8
fjc,38,0.000513,9
fjc,38,0.053826,10
fjc,38,0.057233,11
fjc,38,0.180153,12
fjc,38,0.312191,13
fjc,39,-0.264582,1
fjc,39,-0.185951,2
fjc,39,-0.307882,3
fjc,39,-0.328830,4
fjc,39,-0.589066,5
fjc,39,-0.049646,6
fjc,39,-0.245257,7
fjc,39,0.321920,8
fjc,39,0.033781,9
fjc,39,0.076100,10
