trainingdata,generation,weight,feature
fjc,1,0.866082,1
fjc,1,0.579985,2
fjc,1,0.018415,3
fjc,1,0.865524,4
fjc,1,0.375073,5
fjc,1,9.697765,6
fjc,1,0.529730,7
fjc,1,0.184969,8
fjc,1,1.218103,9
fjc,1,1.133461,10
fjc,1,0.385139,11
fjc,1,1.334299,12
fjc,1,1.043668,13
fjc,2,0.406610,1
fjc,2,0.396103,2
fjc,2,-0.305787,3
fjc,2,0.582100,4
fjc,2,0.397832,5
fjc,2,9.268539,6
fjc,2,0.876544,7
fjc,2,0.060370,8
fjc,2,1.089082,9
fjc,2,1.190491,10
fjc,2,0.492817,11
fjc,2,1.275897,12
fjc,2,1.377650,13
fjc,3,0.368495,1
fjc,3,0.012174,2
fjc,3,-0.709280,3
fjc,3,0.424460,4
fjc,3,0.293678,5
fjc,3,9.148032,6
fjc,3,1.127261,7
fjc,3,-0.095392,8
fjc,3,0.999528,9
fjc,3,0.932129,10
fjc,3,0.497510,11
fjc,3,1.310205,12
fjc,3,1.201595,13
fjc,4,0.291167,1
fjc,4,-0.007702,2
fjc,4,-0.698744,3
fjc,4,-0.064042,4
fjc,4,0.161135,5
fjc,4,9.101832,6
fjc,4,1.258504,7
fjc,4,-0.342659,8
fjc,4,1.015356,9
fjc,4,0.816948,10
fjc,4,0.845025,11
fjc,4,1.685630,12
fjc,4,1.195542,13
fjc,5,0.070872,1
fjc,5,-0.420983,2
fjc,5,-1.241758,3
fjc,5,-0.703722,4
fjc,5,-0.158157,5
fjc,5,8.920580,6
fjc,5,1.413447,7
fjc,5,-0.502120,8
fjc,5,1.006389,9
fjc,5,0.863469,10
fjc,5,1.235432,11
fjc,5,1.514948,12
fjc,5,1.290171,13
fjc,6,-0.248206,1
fjc,6,-0.601823,2
fjc,6,-1.601742,3
fjc,6,-1.012861,4
fjc,6,-0.611633,5
fjc,6,9.149473,6
fjc,6,1.563344,7
fjc,6,-0.571005,8
fjc,6,0.726432,9
fjc,6,1.329967,10
fjc,6,1.544559,11
fjc,6,1.832414,12
fjc,6,1.464704,13
fjc,7,-0.442277,1
fjc,7,-0.580153,2
fjc,7,-2.429141,3
fjc,7,-1.491996,4
fjc,7,-1.497258,5
fjc,7,9.526774,6
fjc,7,1.533650,7
fjc,7,-0.998709,8
fjc,7,1.242995,9
fjc,7,1.427533,10
fjc,7,1.524032,11
fjc,7,1.859606,12
fjc,7,1.935383,13
fjc,8,-1.356537,1
fjc,8,-0.295814,2
fjc,8,-2.869891,3
fjc,8,-1.848520,4
fjc,8,-1.744141,5
fjc,8,9.603375,6
fjc,8,1.441753,7
fjc,8,-0.425719,8
fjc,8,1.035593,9
fjc,8,1.217788,10
fjc,8,1.643932,11
fjc,8,2.092862,12
fjc,8,1.992453,13
fjc,9,-1.961348,1
fjc,9,-0.065475,2
fjc,9,-3.004117,3
fjc,9,-2.423720,4
fjc,9,-1.754646,5
fjc,9,9.146222,6
fjc,9,1.301938,7
fjc,9,-0.299989,8
fjc,9,0.591463,9
fjc,9,0.534613,10
fjc,9,1.719087,11
fjc,9,2.438043,12
fjc,9,2.222822,13
fjc,10,-1.679035,1
fjc,10,0.690570,2
fjc,10,-3.249540,3
fjc,10,-3.243514,4
fjc,10,-2.152013,5
fjc,10,8.082411,6
fjc,10,1.694411,7
fjc,10,-0.445365,8
fjc,10,0.031448,9
fjc,10,0.648231,10
fjc,10,1.661008,11
fjc,10,2.143073,12
fjc,10,2.032346,13
fjc,11,-2.914701,1
fjc,11,0.634276,2
fjc,11,-3.677955,3
fjc,11,-4.130579,4
fjc,11,-3.016148,5
fjc,11,8.012293,6
fjc,11,2.945139,7
fjc,11,0.180784,8
fjc,11,-0.496165,9
fjc,11,0.444123,10
fjc,11,2.508314,11
fjc,11,2.339671,12
fjc,11,2.722982,13
fjc,12,-3.104651,1
fjc,12,0.889552,2
fjc,12,-4.823575,3
fjc,12,-5.464394,4
fjc,12,-2.887204,5
fjc,12,7.690860,6
fjc,12,3.414439,7
fjc,12,-1.176648,8
fjc,12,-0.321624,9
fjc,12,-0.264725,10
fjc,12,2.750096,11
fjc,12,3.200245,12
fjc,12,2.680806,13
fjc,13,-4.485265,1
fjc,13,0.679166,2
fjc,13,-3.743745,3
fjc,13,-5.080513,4
fjc,13,-2.058838,5
fjc,13,6.821692,6
fjc,13,2.966196,7
fjc,13,-0.808441,8
fjc,13,-0.956938,9
fjc,13,-0.386165,10
fjc,13,3.044094,11
fjc,13,2.488968,12
fjc,13,1.765922,13
fjc,14,-5.396255,1
fjc,14,1.199267,2
fjc,14,-5.422298,3
fjc,14,-5.527738,4
fjc,14,-4.763828,5
fjc,14,5.736812,6
fjc,14,3.554051,7
fjc,14,-1.627807,8
fjc,14,-0.985101,9
fjc,14,-0.874626,10
fjc,14,3.253841,11
fjc,14,2.954361,12
fjc,14,2.821036,13
fjc,15,-6.757903,1
fjc,15,1.499835,2
fjc,15,-5.679668,3
fjc,15,-4.626500,4
fjc,15,-3.916116,5
fjc,15,4.191690,6
fjc,15,3.699152,7
fjc,15,-1.517755,8
fjc,15,-1.766069,9
fjc,15,-1.093711,10
fjc,15,3.559410,11
fjc,15,1.589735,12
fjc,15,3.120367,13
fjc,16,-8.650666,1
fjc,16,1.991784,2
fjc,16,-7.626395,3
fjc,16,-6.748858,4
fjc,16,-4.384779,5
fjc,16,1.806714,6
fjc,16,5.617876,7
fjc,16,-2.977416,8
fjc,16,-1.809860,9
fjc,16,0.226953,10
fjc,16,3.887795,11
fjc,16,2.620942,12
fjc,16,3.023068,13
fjc,17,-7.949498,1
fjc,17,1.686989,2
fjc,17,-7.380290,3
fjc,17,-7.979442,4
fjc,17,-4.381939,5
fjc,17,0.994258,6
fjc,17,5.746309,7
fjc,17,-3.865359,8
fjc,17,0.279462,9
fjc,17,0.631632,10
fjc,17,3.872884,11
fjc,17,1.921170,12
fjc,17,4.772307,13
fjc,18,-7.918466,1
fjc,18,0.889596,2
fjc,18,-7.812344,3
fjc,18,-9.393341,4
fjc,18,-4.816186,5
fjc,18,1.713545,6
fjc,18,3.865673,7
fjc,18,-4.781954,8
fjc,18,0.056224,9
fjc,18,0.226966,10
fjc,18,2.124417,11
fjc,18,1.955580,12
fjc,18,3.647141,13
fjc,19,-7.912174,1
fjc,19,0.206951,2
fjc,19,-6.281704,3
fjc,19,-10.505581,4
fjc,19,-7.095947,5
fjc,19,1.786943,6
fjc,19,3.337211,7
fjc,19,-3.447135,8
fjc,19,0.813275,9
fjc,19,-0.278692,10
fjc,19,3.303486,11
fjc,19,-0.067561,12
fjc,19,4.492817,13
fjc,20,-8.092777,1
fjc,20,-0.873963,2
fjc,20,-4.709330,3
fjc,20,-12.550380,4
fjc,20,-6.251934,5
fjc,20,1.807866,6
fjc,20,1.582282,7
fjc,20,-2.614375,8
fjc,20,0.461274,9
fjc,20,1.349724,10
fjc,20,4.323682,11
fjc,20,0.173918,12
fjc,20,3.969946,13
fjc,21,-7.307684,1
fjc,21,-3.105054,2
fjc,21,-3.909567,3
fjc,21,-12.294629,4
fjc,21,-7.633466,5
fjc,21,0.780783,6
fjc,21,0.982497,7
fjc,21,-3.949755,8
fjc,21,-0.243565,9
fjc,21,1.212901,10
fjc,21,4.772420,11
fjc,21,-0.704471,12
fjc,21,4.125101,13
fjc,22,-6.947833,1
fjc,22,-1.444109,2
fjc,22,-3.025146,3
fjc,22,-12.431917,4
fjc,22,-7.060180,5
fjc,22,0.818764,6
fjc,22,1.679636,7
fjc,22,-4.352242,8
fjc,22,-0.780173,9
fjc,22,3.935929,10
fjc,22,6.026812,11
fjc,22,-2.446616,12
fjc,22,5.202058,13
fjc,23,-7.947706,1
fjc,23,-0.391230,2
fjc,23,-3.556525,3
fjc,23,-12.690370,4
fjc,23,-6.287576,5
fjc,23,-1.053872,6
fjc,23,-0.105516,7
fjc,23,-3.943196,8
fjc,23,-2.044563,9
fjc,23,5.717766,10
fjc,23,5.547999,11
fjc,23,-2.188626,12
fjc,23,7.109467,13
fjc,24,-7.009042,1
fjc,24,-1.032895,2
fjc,24,-4.761805,3
fjc,24,-13.602840,4
fjc,24,-9.463594,5
fjc,24,-1.568429,6
fjc,24,-0.638936,7
fjc,24,-5.416755,8
fjc,24,-1.687145,9
fjc,24,5.712685,10
fjc,24,6.674002,11
fjc,24,0.485798,12
fjc,24,7.934547,13
fjc,25,-7.109902,1
fjc,25,-3.057473,2
fjc,25,-4.554880,3
fjc,25,-14.619496,4
fjc,25,-8.413106,5
fjc,25,-2.577417,6
fjc,25,-1.472211,7
fjc,25,-6.954930,8
fjc,25,-1.372206,9
fjc,25,6.701383,10
fjc,25,6.246236,11
fjc,25,-0.211058,12
fjc,25,8.348430,13
fjc,26,-6.782150,1
fjc,26,-3.265094,2
fjc,26,-5.997784,3
fjc,26,-14.819012,4
fjc,26,-9.728155,5
fjc,26,-3.287857,6
fjc,26,-1.737678,7
fjc,26,-8.871311,8
fjc,26,0.131849,9
fjc,26,5.865631,10
fjc,26,4.375041,11
fjc,26,0.846502,12
fjc,26,10.589948,13
fjc,27,-6.858573,1
fjc,27,-2.405828,2
fjc,27,-5.078819,3
fjc,27,-15.517145,4
fjc,27,-10.659741,5
fjc,27,-3.819400,6
fjc,27,-3.909107,7
fjc,27,-8.965378,8
fjc,27,-2.214799,9
fjc,27,4.327027,10
fjc,27,2.421761,11
fjc,27,1.677932,12
fjc,27,11.489216,13
fjc,28,-8.424806,1
fjc,28,-3.896404,2
fjc,28,-5.357031,3
fjc,28,-16.146318,4
fjc,28,-10.395793,5
fjc,28,-4.191709,6
fjc,28,-3.036846,7
fjc,28,-8.912449,8
fjc,28,-0.466409,9
fjc,28,6.839686,10
fjc,28,3.345043,11
fjc,28,4.122374,12
fjc,28,12.931959,13
fjc,29,-7.381223,1
fjc,29,-2.461856,2
fjc,29,-5.648643,3
fjc,29,-16.850806,4
fjc,29,-12.918013,5
fjc,29,-4.942781,6
fjc,29,-2.327096,7
fjc,29,-10.285573,8
fjc,29,-0.229147,9
fjc,29,6.790564,10
fjc,29,5.442057,11
fjc,29,4.087208,12
fjc,29,14.796096,13
fjc,30,-8.052462,1
fjc,30,-4.575666,2
fjc,30,-5.572404,3
fjc,30,-19.044945,4
fjc,30,-15.934916,5
fjc,30,-5.061003,6
fjc,30,-2.565743,7
fjc,30,-12.934894,8
fjc,30,-1.203076,9
fjc,30,8.018594,10
fjc,30,3.691616,11
fjc,30,5.651143,12
fjc,30,14.902335,13
fjc,31,-8.839096,1
fjc,31,-3.740313,2
fjc,31,-9.069588,3
fjc,31,-17.924288,4
fjc,31,-16.186897,5
fjc,31,-3.349756,6
fjc,31,-1.429927,7
fjc,31,-12.074586,8
fjc,31,-0.468554,9
fjc,31,7.375551,10
fjc,31,5.423288,11
fjc,31,6.636214,12
fjc,31,13.458006,13
fjc,32,-10.808848,1
fjc,32,-4.342653,2
fjc,32,-8.184816,3
fjc,32,-21.988413,4
fjc,32,-16.366753,5
fjc,32,-4.161350,6
fjc,32,-0.162319,7
fjc,32,-14.802235,8
fjc,32,-1.173690,9
fjc,32,8.260202,10
fjc,32,8.064374,11
fjc,32,7.432693,12
fjc,32,15.165366,13
fjc,33,-10.320543,1
fjc,33,-3.200048,2
fjc,33,-10.194567,3
fjc,33,-21.428575,4
fjc,33,-17.020923,5
fjc,33,-2.854486,6
fjc,33,-1.847551,7
fjc,33,-14.100198,8
fjc,33,-2.243621,9
fjc,33,8.878667,10
fjc,33,9.260046,11
fjc,33,5.638095,12
fjc,33,14.877003,13
fjc,34,-10.250567,1
fjc,34,-3.682885,2
fjc,34,-10.702305,3
fjc,34,-20.073744,4
fjc,34,-16.643912,5
fjc,34,-1.760774,6
fjc,34,-1.845823,7
fjc,34,-10.280717,8
fjc,34,-4.404039,9
fjc,34,7.356926,10
fjc,34,9.529970,11
fjc,34,4.587396,12
fjc,34,12.816099,13
fjc,35,-10.029429,1
fjc,35,-3.339117,2
fjc,35,-11.276098,3
fjc,35,-20.102560,4
fjc,35,-16.699387,5
fjc,35,0.495194,6
fjc,35,-2.101620,7
fjc,35,-10.348426,8
