Problem,Track,Step,Followed,best.mu,worst.mu,mu
j.rnd,SPT,1,FALSE,0.00495061816114822,4.51818046938251,1.30519337355551
j.rnd,SPT,1,TRUE,0.210697770392099,0.210697770392099,0.210697770392099
j.rnd,SPT,2,FALSE,0.216580123333275,5.1268685934033,1.59454691553841
j.rnd,SPT,2,TRUE,0.862818036577676,0.862818036577676,0.862818036577676
j.rnd,SPT,3,FALSE,0.86763731368611,6.41526587960813,2.35156758311191
j.rnd,SPT,3,TRUE,1.95688061705218,1.95688061705218,1.95688061705218
j.rnd,SPT,4,FALSE,1.96185574143029,8.13201032780294,3.62113828369102
j.rnd,SPT,4,TRUE,3.13522694163535,3.13522694163535,3.13522694163535
j.rnd,SPT,5,FALSE,3.13714265044762,9.57869648471003,4.93426119470264
j.rnd,SPT,5,TRUE,4.57742813289092,4.57742813289092,4.57742813289092
j.rnd,SPT,6,FALSE,4.58194790690222,11.1362502188937,6.43004795026739
j.rnd,SPT,6,TRUE,6.28377643316345,6.28377643316345,6.28377643316345
j.rnd,SPT,7,FALSE,6.28377643316345,13.2622947268233,8.23782018167576
j.rnd,SPT,7,TRUE,7.9777814522361,7.9777814522361,7.9777814522361
j.rnd,SPT,8,FALSE,7.9777814522361,15.2562750780337,10.0417073108027
j.rnd,SPT,8,TRUE,9.99776286045764,9.99776286045764,9.99776286045764
j.rnd,SPT,9,FALSE,10.0082891762471,17.0368885226517,12.0014414339587
j.rnd,SPT,9,TRUE,11.8433556296943,11.8433556296943,11.8433556296943
j.rnd,SPT,10,FALSE,11.8601875141943,18.8256191566969,13.8534742870546
j.rnd,SPT,10,TRUE,13.7686058709187,13.7686058709187,13.7686058709187
j.rnd,SPT,11,FALSE,13.7686058709187,20.60850550826,15.7148350741052
j.rnd,SPT,11,TRUE,15.5171690134182,15.5171690134182,15.5171690134182
j.rnd,SPT,12,FALSE,15.5182309603208,22.6274835525946,17.5861645633262
j.rnd,SPT,12,TRUE,17.425295834833,17.425295834833,17.425295834833
j.rnd,SPT,13,FALSE,17.4360254485669,24.0962913178212,19.4095141421664
j.rnd,SPT,13,TRUE,19.5511494832978,19.5511494832978,19.5511494832978
j.rnd,SPT,14,FALSE,19.5511494832978,26.0286772837412,21.4705309909706
j.rnd,SPT,14,TRUE,21.7719358204025,21.7719358204025,21.7719358204025
j.rnd,SPT,15,FALSE,21.7863636810991,28.0094591813468,23.6665907888971
j.rnd,SPT,15,TRUE,23.7200050659186,23.7200050659186,23.7200050659186
j.rnd,SPT,16,FALSE,23.7391639444233,29.4987012167567,25.5597498630524
j.rnd,SPT,16,TRUE,25.511875570736,25.511875570736,25.511875570736
j.rnd,SPT,17,FALSE,25.511875570736,30.8443563050394,27.2764385083451
j.rnd,SPT,17,TRUE,27.6478899408087,27.6478899408087,27.6478899408087
j.rnd,SPT,18,FALSE,27.6500404784431,32.620745616,29.3494700767672
j.rnd,SPT,18,TRUE,29.5497478147874,29.5497478147874,29.5497478147874
j.rnd,SPT,19,FALSE,29.56593614585,33.8217501935245,31.1026928534462
j.rnd,SPT,19,TRUE,31.4164999128324,31.4164999128324,31.4164999128324
j.rnd,SPT,20,FALSE,31.4306721148627,35.4610129215176,32.9848839715099
j.rnd,SPT,20,TRUE,32.7609863702343,32.7609863702343,32.7609863702343
j.rnd,SPT,21,FALSE,32.7660496613735,35.8186752797261,34.0556921144926
j.rnd,SPT,21,TRUE,34.9083214227337,34.9083214227337,34.9083214227337
