Problem,Feature,Step,Track,mu
j.rnd,phi.proc,1,LWR,-0.313058556756036
j.rnd,phi.proc,1,MWR,0.286802721088435
j.rnd,phi.proc,1,OPT,-0.0862585034013605
j.rnd,phi.proc,2,LWR,-0.321862078164599
j.rnd,phi.proc,2,MWR,0.29265306122449
j.rnd,phi.proc,2,OPT,-0.140884353741497
j.rnd,phi.proc,3,LWR,-0.242897158863545
j.rnd,phi.proc,3,MWR,0.236394557823129
j.rnd,phi.proc,3,OPT,-0.113265306122449
j.rnd,phi.proc,4,LWR,-0.264905962384954
j.rnd,phi.proc,4,MWR,0.18
j.rnd,phi.proc,4,OPT,-0.0602040816326531
j.rnd,phi.proc,5,LWR,-0.255969054288382
j.rnd,phi.proc,5,MWR,0.163265306122449
j.rnd,phi.proc,5,OPT,-0.0694557823129252
j.rnd,phi.proc,6,LWR,-0.298652794451114
j.rnd,phi.proc,6,MWR,0.232925170068027
j.rnd,phi.proc,6,OPT,-0.036734693877551
j.rnd,phi.proc,7,LWR,-0.301320528211285
j.rnd,phi.proc,7,MWR,0.122857142857143
j.rnd,phi.proc,7,OPT,-0.0617006802721089
j.rnd,phi.proc,8,LWR,-0.359877284247032
j.rnd,phi.proc,8,MWR,0.109115646258503
j.rnd,phi.proc,8,OPT,-0.0371428571428571
j.rnd,phi.proc,9,LWR,-0.236894757903161
j.rnd,phi.proc,9,MWR,0.114625850340136
j.rnd,phi.proc,9,OPT,-0.0283673469387755
j.rnd,phi.proc,10,LWR,-0.24249699879952
j.rnd,phi.proc,10,MWR,0.0741496598639456
j.rnd,phi.proc,10,OPT,0.0207482993197279
j.rnd,phi.proc,11,LWR,-0.187408296651994
j.rnd,phi.proc,11,MWR,0.041156462585034
j.rnd,phi.proc,11,OPT,0.0168707482993197
j.rnd,phi.proc,12,LWR,-0.214485794317727
j.rnd,phi.proc,12,MWR,0.032312925170068
j.rnd,phi.proc,12,OPT,-0.046734693877551
j.rnd,phi.proc,13,LWR,-0.144724556489262
j.rnd,phi.proc,13,MWR,0.0576190476190476
j.rnd,phi.proc,13,OPT,-0.0540816326530612
j.rnd,phi.proc,14,LWR,-0.213818860877684
j.rnd,phi.proc,14,MWR,0.0863945578231293
j.rnd,phi.proc,14,OPT,-0.0144897959183673
j.rnd,phi.proc,15,LWR,-0.110977724423103
j.rnd,phi.proc,15,MWR,0.0663265306122449
j.rnd,phi.proc,15,OPT,0.0108843537414966
j.rnd,phi.proc,16,LWR,-0.218754168334
j.rnd,phi.proc,16,MWR,0.107482993197279
j.rnd,phi.proc,16,OPT,-0.0395918367346939
j.rnd,phi.proc,17,LWR,-0.157529678538082
j.rnd,phi.proc,17,MWR,0.0648979591836735
j.rnd,phi.proc,17,OPT,0.0281632653061225
j.rnd,phi.proc,18,LWR,-0.167667066826731
j.rnd,phi.proc,18,MWR,0.0486394557823129
j.rnd,phi.proc,18,OPT,0.00380952380952381
j.rnd,phi.proc,19,LWR,-0.175670268107243
j.rnd,phi.proc,19,MWR,-0.0114965986394558
j.rnd,phi.proc,19,OPT,0.0308843537414966
j.rnd,phi.proc,20,LWR,-0.268640789649193
j.rnd,phi.proc,20,MWR,0.066530612244898
j.rnd,phi.proc,20,OPT,-0.00462585034013606
j.rnd,phi.proc,21,LWR,-0.118313992263572
j.rnd,phi.proc,21,MWR,0.0930612244897959
j.rnd,phi.proc,21,OPT,0.010952380952381
j.rnd,phi.proc,22,LWR,-0.0726957449646525
j.rnd,phi.proc,22,MWR,0.00503401360544218
j.rnd,phi.proc,22,OPT,0.0349659863945578
j.rnd,phi.proc,23,LWR,-0.165666266506603
j.rnd,phi.proc,23,MWR,0.00312925170068027
j.rnd,phi.proc,23,OPT,0.00442176870748299
j.rnd,phi.proc,24,LWR,-0.111111111111111
j.rnd,phi.proc,24,MWR,0.0180272108843537
j.rnd,phi.proc,24,OPT,0.0248299319727891
j.rnd,phi.proc,25,LWR,-0.151393890889689
j.rnd,phi.proc,25,MWR,-0.0219047619047619
j.rnd,phi.proc,25,OPT,0.0371428571428571
