Problem,Dimension,Track,Scaled,Prob,NrFeat,Model,Validation.Acc,Training.Acc,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totproc,phi.wait,phi.mac,phi.macOps,phi.macfree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
f.rnd,10x10,OPT,F,bcs,16,1,76.69,77,0.0180926353448595,0.0111842305497814,0.029276865894748,-0.885297517023451,0.00361413385547332,0.00132337361363566,0.00757009669430963,-0.885297517023451,-1.3785700974923,-0.0199984931677318,-0.00428231612933588,0,0.00125285608396372,0.00098032205606653,-0.00125285608396372,0.00264586497656825,-0.00310315383791324,0
f.rnd,10x10,OPT,F,bcs,1,1,64.36,64.62,0.00952833062459334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,2,51.38,51.5,0,0.00218451788535642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,3,63.73,63.65,0,0,0.00687177053743866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,4,63.61,64.67,0,0,0,-0.100009749123507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,5,59.89,60.3,0,0,0,0,0.00163182377424137,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,6,50.9,50.62,0,0,0,0,0,-0.000159265270766416,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,7,61.19,61.37,0,0,0,0,0,0,0.00188465631264802,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,8,63.61,64.67,0,0,0,0,0,0,0,0.0994799450066057,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,9,63.61,64.67,0,0,0,0,0,0,0,0,-0.0754924316185787,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,10,63.73,63.64,0,0,0,0,0,0,0,0,0,0.00684588014360809,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,11,62.64,62.71,0,0,0,0,0,0,0,0,0,0,-0.00777805303536488,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,12,57.82,57.85,0,0,0,0,0,0,0,0,0,0,0,0,-0.00277969047921757,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,13,62.47,63.59,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00164660882179355,0,0,0,0
f.rnd,10x10,OPT,F,bcs,1,14,57.82,57.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282042990788027,0,0,0
f.rnd,10x10,OPT,F,bcs,1,15,55.12,55.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000621862638992792,0,0
f.rnd,10x10,OPT,F,bcs,1,16,59.93,61.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018976087768176,0
f.rnd,10x10,OPT,F,bcs,2,1,64.61,65.05,-0.0194435286314905,-0.00671937093873446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,2,64.61,65.07,-0.0127962140566206,0,-0.00680972634802484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,3,64.6,65.08,0,0.0128952777024659,-0.0198050878560327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,4,69.48,69.81,-0.0193914156993046,0,0,0.208659998906807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,5,64.62,65.78,0,0.00504384070198949,0,-0.205576329348065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,6,70.17,70.45,0,0,-0.0146749751819206,0.216596427925776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,7,68.08,68.4,0.0180471498614257,0,0,0,-0.00275516649936053,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,8,63.04,63.65,0,0.00856551241367387,0,0,-0.00383695054958688,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,9,69.47,69.53,0,0,-0.0151751335710338,0,0.00388743966287734,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,10,62.81,63.64,0,0,0,0.150340353788309,0.00164119932052486,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,11,65.02,65.13,-0.0203459348504799,0,0,0,0,0.00152691610709453,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,12,51.18,51.71,0,0.00420980800226177,0,0,0,0.000281641389238408,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,13,64.21,64.2,0,0,0.0144944564151232,0,0,-0.00105919815159827,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,14,62.53,63.98,0,0,0,0.212201555531166,0,-0.00128816945261057,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,15,60.7,61.49,0,0,0,0,-0.00346391697571567,0.00136610175997914,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,16,68.96,69.27,-0.0178714291237715,0,0,0,0,0,-0.00340877846146392,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,17,63.04,63.65,0,-0.00472464244793957,0,0,0,0,-0.00382998921838542,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,18,69.06,69,0,0,-0.0134932684871996,0,0,0,-0.00365896717389924,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,19,63,63.78,0,0,0,-0.131936476699146,0,0,0.00218563500945931,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,20,63.02,63.69,0,0,0,0,-0.00450864318203835,0,-0.00826583217838125,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,bcs,2,21,63,63.39,0,0,0,0,0,0.00146458497340358,0.00406665338019555,0,0,0,0,0,0,0,0,0,0,0
