Step,rnd,unique
1,0.800,8.000
1,0.900,6.000
1,0.800,6.000
1,0.500,5.000
1,0.600,6.000
1,0.700,7.000
1,0.500,2.000
1,0.700,7.000
1,0.700,3.000
1,0.700,7.000
1,0.700,7.000
1,0.800,8.000
1,0.600,6.000
1,1.000,10.000
1,0.800,8.000
1,0.700,7.000
1,0.600,6.000
1,0.600,6.000
1,0.800,8.000
1,0.600,5.000
1,0.500,4.000
1,0.800,8.000
1,0.800,6.000
1,0.500,5.000
1,0.800,8.000
1,0.800,8.000
1,0.800,7.000
1,0.600,6.000
1,0.600,4.000
1,0.900,8.000
1,0.500,2.000
1,0.600,6.000
1,0.800,5.000
1,0.700,6.000
1,0.900,9.000
1,1.000,9.000
1,0.700,7.000
1,0.500,4.000
1,0.800,8.000
1,0.400,4.000
1,1.000,10.000
1,0.600,6.000
1,0.500,4.000
1,0.500,5.000
1,0.400,4.000
1,0.500,2.000
1,0.700,4.000
1,0.800,6.000
1,0.800,8.000
1,0.500,5.000
1,0.600,6.000
1,0.700,3.000
1,0.600,6.000
1,0.700,7.000
1,0.700,7.000
1,0.800,8.000
1,0.500,5.000
1,0.900,9.000
1,0.800,8.000
1,0.800,8.000
1,0.700,6.000
1,0.900,9.000
1,0.900,9.000
1,0.800,4.000
1,0.700,7.000
1,0.300,3.000
1,0.600,6.000
1,0.600,6.000
1,0.500,5.000
1,0.800,8.000
1,0.600,5.000
1,0.700,4.000
1,0.800,7.000
1,0.600,6.000
1,0.700,7.000
1,0.900,8.000
1,0.800,7.000
1,0.700,7.000
1,0.700,5.000
1,0.600,6.000
1,0.900,9.000
1,0.900,6.000
1,0.600,6.000
1,0.800,8.000
1,0.800,8.000
1,0.800,8.000
1,0.700,6.000
1,0.800,8.000
1,0.900,8.000
1,0.800,7.000
1,0.900,9.000
1,1.000,10.000
1,0.400,3.000
1,0.500,2.000
1,0.800,2.000
1,0.900,9.000
1,0.600,5.000
1,0.900,9.000
1,0.800,8.000
1,0.700,7.000
1,0.800,8.000
1,1.000,10.000
1,0.800,8.000
1,0.600,5.000
1,0.800,3.000
1,0.900,9.000
1,0.800,8.000
1,0.600,2.000
1,0.600,6.000
1,0.900,9.000
1,0.600,4.000
1,0.800,3.000
1,0.800,8.000
1,0.900,9.000
1,0.700,5.000
1,0.800,8.000
1,0.900,9.000
1,0.500,5.000
1,0.800,8.000
1,0.700,7.000
1,0.800,8.000
1,0.900,8.000
1,0.800,8.000
1,0.600,6.000
1,0.800,7.000
1,0.800,5.000
1,0.600,6.000
1,0.700,7.000
1,0.500,5.000
1,0.900,9.000
1,0.800,8.000
1,0.500,5.000
1,0.700,2.000
1,0.700,4.000
1,0.900,9.000
1,0.400,4.000
1,0.600,5.000
1,0.400,3.000
1,0.500,5.000
1,0.900,9.000
1,0.600,5.000
1,1.000,10.000
1,0.900,9.000
1,0.700,7.000
1,0.800,8.000
1,0.900,9.000
1,0.500,5.000
1,0.800,6.000
1,0.600,5.000
1,0.800,8.000
