Problem,Dimension,Track,Scaled,Prob,NrFeat,Model,Validation.Acc,Training.Acc,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totproc,phi.wait,phi.mac,phi.macOps,phi.macfree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
j.rndn,10x10,OPT,F,bcs,16,1,45.96,58.86,-0.0042156286665106,0.00101322268662654,-0.00320240597988343,0,-0.0014349258963788,-0.00504160366633555,0.0024481485830107,-0.00540229505376546,-0.001194947033961,-0.00189796583948529,0.0179186603714756,0,0.000435662319094454,-0.00127444883058328,-0.000435662319094454,0.00416266104536158,-0.00522976566788491,0
j.rndn,10x10,OPT,F,bcs,1,1,50.15,50.44,0.000611670169194582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,bcs,1,2,44.17,53.94,0,-0.0010042830783678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,bcs,1,3,44.66,54.43,0,0,0.000960810738188369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,bcs,1,4,39.83,55.6,0,0,0,-0.116819464393278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,bcs,1,5,40.74,52.42,0,0,0,0,-0.000304969141923201,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,bcs,1,6,50.35,51.66,0,0,0,0,0,-0.0035256887483735,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,bcs,1,7,55.08,49.59,0,0,0,0,0,0,-0.000309790857619346,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,bcs,1,8,49.11,50.35,0,0,0,0,0,0,0,0.00138392643935504,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,bcs,1,9,49.47,52.04,0,0,0,0,0,0,0,0,-0.066365913414917,0,0,0,0,0,0,0,0,0
