Problem,Dimension,Track,Scaled,Prob,NrFeat,Model,Validation.Acc,Training.Acc,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totproc,phi.wait,phi.mac,phi.macOps,phi.macfree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
f.rnd,10x10,OPT,F,equal,16,1,75.53,75.92,-0.0152222613228871,-0.00667333717471342,-0.02189559849749,0.511335203506238,-0.00159911866289825,-0.000926789041551284,-0.00507421851192,0.511335203506238,0.56537018602157,0.0153718486412435,0.00174967324714871,0,-0.00119189659171125,-0.00197547249975126,0.00119189659171125,-0.00370624504000162,0.00205782844458851,0
f.rnd,10x10,OPT,F,equal,1,1,64.36,64.62,-0.00961739501507311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,2,51.38,51.5,0,-0.00196082645267745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,3,63.73,63.65,0,0,-0.00699711125782352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,4,63.61,64.67,0,0,0,0.119800728141583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,5,59.89,60.3,0,0,0,0,0.00198553715757615,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,6,50.9,50.62,0,0,0,0,0,-0.000192933936035084,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,7,61.19,61.37,0,0,0,0,0,0,-0.00226410592767353,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,8,63.61,64.67,0,0,0,0,0,0,0,0.119800728141583,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,9,63.61,64.67,0,0,0,0,0,0,0,0,-0.092767740153921,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,10,63.73,63.64,0,0,0,0,0,0,0,0,0,-0.00698652148924264,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,11,62.64,62.71,0,0,0,0,0,0,0,0,0,0,-0.0080623184952576,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,12,57.82,57.85,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337215820847747,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,13,62.47,63.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195901716319207,0,0,0,0
f.rnd,10x10,OPT,F,equal,1,14,57.82,57.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337215820847747,0,0,0
f.rnd,10x10,OPT,F,equal,1,15,55.12,55.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000801061704141006,0,0
f.rnd,10x10,OPT,F,equal,1,16,59.93,61.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00202925636432496,0
f.rnd,10x10,OPT,F,equal,2,1,64.61,65.08,-0.0199404841875703,-0.00637754629441215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,2,64.61,65.08,-0.0135625460813409,0,-0.00637756226939247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,3,64.61,65.08,0,0.0135629375775563,-0.019940484079017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,4,69.76,69.89,-0.0198767432927608,0,0,0.246449453646809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,5,64.8,65.9,0,-0.00488090044859414,0,0.241837771274797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,6,70.18,70.71,0,0,-0.0151879378006039,0.256505323920652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,7,68.36,68.7,-0.0181911645470232,0,0,0,0.00356053184584706,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,8,63.02,63.72,0,-0.00885028600055329,0,0,0.00456013438216707,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,9,69.73,69.86,0,0,-0.0157417672500052,0,0.00465340465144737,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,10,62.82,63.64,0,0,0,0.180460485617906,0.00198818881982755,0,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,11,64.88,65.05,-0.0208200468044327,0,0,0,0,0.00147342786148974,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,12,51.41,51.91,0,-0.00389394468039849,0,0,0,-0.000363830444286848,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,13,64.18,64.15,0,0,-0.0146734954283479,0,0,0.000990165269858406,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,14,62.87,64.23,0,0,0,0.250005347097291,0,-0.00131235439094142,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,15,60.66,61.43,0,0,0,0,0.00424744625733474,-0.00151417340325819,0,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,16,69.24,69.59,-0.0184076761543672,0,0,0,0,0,-0.00419648218505993,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,17,63.02,63.72,0,-0.00428962853910734,0,0,0,0,-0.00455973675178874,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,18,69.42,69.42,0,0,-0.0137388148952274,0,0,0,-0.00442011596226913,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,19,62.97,63.78,0,0,0,0.16249838688775,0,0,-0.00261533217630206,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,20,63.03,63.72,0,0,0,0,-0.00427782847722157,0,-0.00883185124497296,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,21,63,63.33,0,0,0,0,0,-0.00161409841281245,-0.00483363584022757,0,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,22,69.76,69.89,-0.0198767432927608,0,0,0,0,0,0,0.246449453646809,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,23,64.8,65.9,0,-0.00488090044859414,0,0,0,0,0,0.241837771274797,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,24,70.18,70.71,0,0,-0.0151879378006039,0,0,0,0,0.256505323920652,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,25,63.61,64.67,0,0,0,0.119800728141583,0,0,0,0.119800728141583,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,26,62.82,63.64,0,0,0,0,0.00198818881982755,0,0,0.180460485617906,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,27,62.87,64.23,0,0,0,0,0,-0.00131235439094142,0,0.250005347097291,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,28,62.97,63.78,0,0,0,0,0,0,-0.00261533217630206,0.16249838688775,0,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,29,68.15,68.3,-0.0193343973774331,0,0,0,0,0,0,0,-0.186067758781511,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,30,64.34,65.5,0,-0.00305276102844125,0,0,0,0,0,0,-0.183623309233106,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,31,67.95,68.32,0,0,-0.0137268587255144,0,0,0,0,0,-0.18016464712268,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,32,66.17,66.85,0,0,0,0.8976508299457,0,0,0,0,0.648477576598022,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,33,61.24,61.87,0,0,0,0,0.00306836480536047,0,0,0,-0.0770022734637647,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,34,62.28,63.63,0,0,0,0,0,-0.00115491738004723,0,0,-0.194283173571558,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,35,62.93,63.68,0,0,0,0,0,0,-0.00344705383557582,0,-0.083349759290458,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,36,66.17,66.85,0,0,0,0,0,0,0,0.8976508299457,0.648477576598022,0,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,37,64.63,65.1,-0.013615213551641,0,0,0,0,0,0,0,0,-0.00633867760101312,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,38,64.53,65,0,0.0128232047632958,0,0,0,0,0,0,0,-0.0196473557307175,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,39,63.73,63.65,0,0,-0.00702294501142253,0,0,0,0,0,0,-0.00694466967048515,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,40,70.18,70.7,0,0,0,0.256674801056652,0,0,0,0,0,-0.0151982474349083,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,41,69.69,69.83,0,0,0,0,0.00463486066249508,0,0,0,0,-0.0157619965725583,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,42,64.16,64.14,0,0,0,0,0,0.000984437599633093,0,0,0,-0.0146451068702105,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,43,69.41,69.42,0,0,0,0,0,0,-0.00442107160980336,0,0,-0.0137532941123558,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,44,70.18,70.7,0,0,0,0,0,0,0,0.256674801056652,0,-0.0151982474349083,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,45,67.84,68.21,0,0,0,0,0,0,0,0,-0.171136961219129,-0.0137131588279784,0,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,46,64.62,65.17,-0.0151421063160896,0,0,0,0,0,0,0,0,0,-0.00611920245088468,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,47,63.74,63.88,0,0.00926901895209238,0,0,0,0,0,0,0,0,-0.0209463703642712,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,48,63.73,63.65,0,0,-0.0161300193826986,0,0,0,0,0,0,0,0.00280385990151407,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,49,69.34,69.9,0,0,0,0.253744097845746,0,0,0,0,0,0,-0.0174903301275072,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,50,69.07,69.27,0,0,0,0,0.0045384522538146,0,0,0,0,0,-0.0181759363582652,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,51,62.86,62.89,0,0,0,0,0,0.000803716562791213,0,0,0,0,-0.0167709713188132,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,52,68.7,68.73,0,0,0,0,0,0,-0.00443960030920479,0,0,0,-0.0158453043616275,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,53,69.34,69.9,0,0,0,0,0,0,0,0.253744097845746,0,0,-0.0174903301275072,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,54,67.19,67.7,0,0,0,0,0,0,0,0,-0.181054031208932,0,-0.0158120565161542,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,55,63.73,63.64,0,0,0,0,0,0,0,0,0,-0.0161498130844602,0.00280835964584032,0,0,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,56,66.61,66.88,-0.0186960799300899,0,0,0,0,0,0,0,0,0,0,0,-0.00609331823850034,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,57,57.09,56.95,0,-0.00603714780467527,0,0,0,0,0,0,0,0,0,0,-0.00726140158519862,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,58,66.54,66.65,0,0,-0.0147525384499618,0,0,0,0,0,0,0,0,0,-0.00747050289379216,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,59,62.5,63.41,0,0,0,0.195295724281668,0,0,0,0,0,0,0,0,-0.00270081835438612,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,60,60.51,61.05,0,0,0,0,0.00311811702107804,0,0,0,0,0,0,0,-0.00403925325272682,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,61,56.1,56.26,0,0,0,0,0,-0.000499784249733191,0,0,0,0,0,0,-0.00679785972378276,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,62,60.76,61.45,0,0,0,0,0,0,-0.00370295049258848,0,0,0,0,0,-0.00380651515343765,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,63,62.5,63.41,0,0,0,0,0,0,0,0.195295724281668,0,0,0,0,-0.00270081835438612,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,64,61.5,62.37,0,0,0,0,0,0,0,0,-0.132829486499776,0,0,0,-0.00400915689004241,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,65,66.51,66.63,0,0,0,0,0,0,0,0,0,-0.0147689043307311,0,0,-0.00746057803927424,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,66,65.93,66.03,0,0,0,0,0,0,0,0,0,0,-0.0170724828246145,0,-0.00740122686803732,0,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,67,68.07,68.79,-0.0189067531903657,0,0,0,0,0,0,0,0,0,0,0,0,0.00378624073218585,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,68,64.12,65.32,0,-0.00590687870528936,0,0,0,0,0,0,0,0,0,0,0,0.00406355478544557,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,69,68.58,69.1,0,0,-0.0149750361998563,0,0,0,0,0,0,0,0,0,0,0.00423670552553598,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,70,64.71,65.84,0,0,0,0.280621432411548,0,0,0,0,0,0,0,0,0,-0.000927528055610771,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,71,62.33,63.21,0,0,0,0,0.00253006443004386,0,0,0,0,0,0,0,0,0.00240463538731548,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,72,61.66,62.64,0,0,0,0,0,-0.00145438708565937,0,0,0,0,0,0,0,0.00418465077844661,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,73,62.79,63.79,0,0,0,0,0,0,-0.00322928075749205,0,0,0,0,0,0,0.00208802220143167,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,74,64.71,65.84,0,0,0,0,0,0,0,0.280621432411548,0,0,0,0,0,-0.000927528055610771,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,75,62.47,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00391683885119186,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,76,68.58,69.1,0,0,0,0,0,0,0,0,0,-0.0149838562261096,0,0,0,0.00424009564012074,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,77,67.87,68.54,0,0,0,0,0,0,0,0,0,0,-0.0172763051718384,0,0,0.00419764334693537,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,78,62.07,63.18,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337201323104948,0.00298566585096833,0,0,0,0
f.rnd,10x10,OPT,F,equal,2,79,66.61,66.88,-0.0186960799300899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609331823850034,0,0,0
f.rnd,10x10,OPT,F,equal,2,80,57.09,56.95,0,-0.00603714780467527,0,0,0,0,0,0,0,0,0,0,0,0,0.00726140158519862,0,0,0
f.rnd,10x10,OPT,F,equal,2,81,66.54,66.65,0,0,-0.0147525384499618,0,0,0,0,0,0,0,0,0,0,0,0.00747050289379216,0,0,0
f.rnd,10x10,OPT,F,equal,2,82,62.5,63.41,0,0,0,0.195295724281668,0,0,0,0,0,0,0,0,0,0,0.00270081835438612,0,0,0
f.rnd,10x10,OPT,F,equal,2,83,60.51,61.05,0,0,0,0,0.00311811702107804,0,0,0,0,0,0,0,0,0,0.00403925325272682,0,0,0
f.rnd,10x10,OPT,F,equal,2,84,56.1,56.26,0,0,0,0,0,-0.000499784249733191,0,0,0,0,0,0,0,0,0.00679785972378276,0,0,0
f.rnd,10x10,OPT,F,equal,2,85,60.76,61.45,0,0,0,0,0,0,-0.00370295049258848,0,0,0,0,0,0,0,0.00380651515343765,0,0,0
f.rnd,10x10,OPT,F,equal,2,86,62.5,63.41,0,0,0,0,0,0,0,0.195295724281668,0,0,0,0,0,0,0.00270081835438612,0,0,0
f.rnd,10x10,OPT,F,equal,2,87,61.5,62.37,0,0,0,0,0,0,0,0,-0.132829486499776,0,0,0,0,0,0.00400915689004241,0,0,0
f.rnd,10x10,OPT,F,equal,2,88,66.51,66.63,0,0,0,0,0,0,0,0,0,-0.0147689043307311,0,0,0,0,0.00746057803927424,0,0,0
f.rnd,10x10,OPT,F,equal,2,89,65.93,66.03,0,0,0,0,0,0,0,0,0,0,-0.0170724828246145,0,0,0,0.00740122686803732,0,0,0
f.rnd,10x10,OPT,F,equal,2,90,57.82,57.85,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337215820847747,0,0.00337215820847747,0,0,0
f.rnd,10x10,OPT,F,equal,2,91,62.07,63.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298566585096833,0.00337201323104948,0,0,0
f.rnd,10x10,OPT,F,equal,2,92,66.45,66.32,-0.0209214436957129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245608356727055,0,0
f.rnd,10x10,OPT,F,equal,2,93,55.07,56.22,0,-0.00349198853037849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015504373128094,0,0
f.rnd,10x10,OPT,F,equal,2,94,64.99,65.2,0,0,-0.0145638315901161,0,0,0,0,0,0,0,0,0,0,0,0,0.00200583826706731,0,0
f.rnd,10x10,OPT,F,equal,2,95,65.19,65.46,0,0,0,0.522633937108034,0,0,0,0,0,0,0,0,0,0,0,-0.00657960199713855,0,0
f.rnd,10x10,OPT,F,equal,2,96,59.85,60.23,0,0,0,0,0.00408076182752118,0,0,0,0,0,0,0,0,0,0,-0.000242256150326076,0,0
f.rnd,10x10,OPT,F,equal,2,97,54.09,54.8,0,0,0,0,0,-0.000656329411027765,0,0,0,0,0,0,0,0,0,0.00168010892153601,0,0
f.rnd,10x10,OPT,F,equal,2,98,61.41,61.7,0,0,0,0,0,0,-0.00484891632835031,0,0,0,0,0,0,0,0,-0.000629133330436978,0,0
f.rnd,10x10,OPT,F,equal,2,99,65.19,65.46,0,0,0,0,0,0,0,0.522633937108034,0,0,0,0,0,0,0,-0.00657960199713855,0,0
f.rnd,10x10,OPT,F,equal,2,100,61.75,62.72,0,0,0,0,0,0,0,0,-0.398981288776963,0,0,0,0,0,0,-0.00502172771306268,0,0
f.rnd,10x10,OPT,F,equal,2,101,64.99,65.19,0,0,0,0,0,0,0,0,0,-0.0145772282091191,0,0,0,0,0,0.00200754568589953,0,0
f.rnd,10x10,OPT,F,equal,2,102,63.91,64.35,0,0,0,0,0,0,0,0,0,0,-0.0167817950570703,0,0,0,0,0.00195079738147602,0,0
f.rnd,10x10,OPT,F,equal,2,103,58.4,58.77,0,0,0,0,0,0,0,0,0,0,0,0,-0.00645894481648642,0,0,0.00036881006852378,0,0
f.rnd,10x10,OPT,F,equal,2,104,61.57,62.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555915714647448,0,-0.00229191287259152,0,0
f.rnd,10x10,OPT,F,equal,2,105,58.4,58.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00645894481648642,0.00036881006852378,0,0
