Problem,Dimension,Track,Scaled,Prob,NrFeat,Model,Validation.Acc,Training.Acc,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totproc,phi.wait,phi.mac,phi.macOps,phi.macfree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
j.rndn,10x10,OPT,F,wcs,16,1,47.23,59.05,-0.0019617198926526,0.000363365749054578,-0.0015983541435992,0.000212385226288985,-0.00186811893986754,-0.00427743051702452,0.00223148468892059,-0.00449952298507206,-0.00119345926891888,-0.00220204090176983,0.0165420101256034,0,0.000624548664872351,-0.00114064439505367,-0.000624548664872351,0.00337703370898609,-0.00462619565840294,0
j.rndn,10x10,OPT,F,wcs,1,1,50.15,50.44,-0.00210612603515855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,2,44.17,53.94,0,0.000867106750510197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,3,44.66,54.43,0,0,0.000860498604960084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,4,39.83,55.6,0,0,0,-0.0932287089089568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,5,40.74,52.42,0,0,0,0,-0.000130868132352233,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,6,50.35,51.66,0,0,0,0,0,0.00313101520809561,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,7,55.08,49.59,0,0,0,0,0,0,0.000632274060700007,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,8,49.2,50.19,0,0,0,0,0,0,0,0.00117305709865974,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,9,49.47,52.04,0,0,0,0,0,0,0,0,0.0464788201973004,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,10,44.87,54.48,0,0,0,0,0,0,0,0,0,-0.00230749054984016,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,11,45.48,54.69,0,0,0,0,0,0,0,0,0,0,0.00528733716420054,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,12,42.36,52.14,0,0,0,0,0,0,0,0,0,0,0,0,0.000186218750026743,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,13,43.78,53.72,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00121435065866444,0,0,0,0
j.rndn,10x10,OPT,F,wcs,1,14,42.36,52.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00023949861758938,0,0,0
j.rndn,10x10,OPT,F,wcs,1,15,49.5,52.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000864269228448075,0,0
j.rndn,10x10,OPT,F,wcs,1,16,39.84,55.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191356328954602,0
j.rndn,10x10,OPT,F,wcs,2,1,44.78,54.44,0.00287738222747822,0.0017871206778759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,2,2,44.76,54.44,-0.00160434339054577,0,-0.00177934085556205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,2,3,44.87,54.34,0,-0.00255590180904021,0.00428632440160884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,2,4,40,55.82,-0.00265996635965481,0,0,-0.188422304729734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,2,5,39.52,54.52,0,0.000567257241773932,0,-0.193386830945387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,2,6,39.46,54.44,0,0,-0.000349315168968754,0.188074605275784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,2,7,43.16,50.93,0.00441015290998185,0,0,0,0.000266134116765546,0,0,0,0,0,0,0,0,0,0,0,0,0
j.rndn,10x10,OPT,F,wcs,2,8,48.4,54.5,0,0.00301260596656668,0,0,-0.00123623846357296,0,0,0,0,0,0,0,0,0,0,0,0,0
