Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
j.rndn,1,1,52.08953,300,52.56241,200,10x10,OPT,FALSE,equal,50.15,50.44
j.rndn,1,10,26.27929,300,25.72607,200,10x10,OPT,FALSE,equal,44.87,54.48
j.rndn,1,11,26.27929,300,25.72607,200,10x10,OPT,FALSE,equal,45.48,54.69
j.rndn,1,12,26.84431,300,26.98574,200,10x10,OPT,FALSE,equal,42.36,52.14
j.rndn,1,13,25.35989,300,24.7682,200,10x10,OPT,FALSE,equal,43.78,53.72
j.rndn,1,14,26.84431,300,26.98574,200,10x10,OPT,FALSE,equal,42.36,52.14
j.rndn,1,15,46.76571,300,47.58957,200,10x10,OPT,FALSE,equal,49.5,52.32
j.rndn,1,16,19.66463,300,19.59873,200,10x10,OPT,FALSE,equal,39.84,55.82
j.rndn,1,2,29.82388,300,28.56507,200,10x10,OPT,FALSE,equal,44.17,53.94
j.rndn,1,3,26.27929,300,25.72607,200,10x10,OPT,FALSE,equal,44.66,54.43
j.rndn,1,4,18.83669,300,18.01215,200,10x10,OPT,FALSE,equal,39.83,55.6
j.rndn,1,5,54.43807,300,54.8317,200,10x10,OPT,FALSE,equal,40.74,52.42
j.rndn,1,6,51.81178,300,50.91532,200,10x10,OPT,FALSE,equal,50.35,51.66
j.rndn,1,7,60.12739,300,58.52558,200,10x10,OPT,FALSE,equal,55.08,49.59
j.rndn,1,8,45.88918,300,47.02589,200,10x10,OPT,FALSE,equal,49.11,50.35
j.rndn,1,9,45.63891,300,45.39239,200,10x10,OPT,FALSE,equal,49.47,52.04
j.rndn,16,1,37.65896,300,37.63751,200,10x10,OPT,FALSE,equal,48.02,59.2
j.rndn,2,1,27.33101,300,28.4281,200,10x10,OPT,FALSE,equal,44.93,54.32
j.rndn,2,10,33.48479,300,31.6858,200,10x10,OPT,FALSE,equal,41.31,54.69
j.rndn,2,100,46.76571,300,47.58957,200,10x10,OPT,FALSE,equal,49.5,52.32
j.rndn,2,101,25.69457,300,25.05702,200,10x10,OPT,FALSE,equal,43.58,55.53
j.rndn,2,102,30.94886,300,30.54439,200,10x10,OPT,FALSE,equal,45.35,55.89
j.rndn,2,103,46.77936,300,47.04104,200,10x10,OPT,FALSE,equal,52.22,50.34
j.rndn,2,104,28.95972,300,28.1306,200,10x10,OPT,FALSE,equal,43.21,54.56
j.rndn,2,105,46.77936,300,47.04104,200,10x10,OPT,FALSE,equal,52.22,50.34
j.rndn,2,106,20.79319,300,20.54257,200,10x10,OPT,FALSE,equal,39.89,56.02
j.rndn,2,107,21.62284,300,21.6221,200,10x10,OPT,FALSE,equal,39.62,55.46
j.rndn,2,108,21.17911,300,21.24464,200,10x10,OPT,FALSE,equal,39.62,55.51
j.rndn,2,109,19.66463,300,19.59873,200,10x10,OPT,FALSE,equal,39.84,55.82
j.rndn,2,11,50.22407,300,49.31542,200,10x10,OPT,FALSE,equal,50.39,52.01
j.rndn,2,110,33.10271,300,31.73297,200,10x10,OPT,FALSE,equal,41.6,54.91
j.rndn,2,111,19.40104,300,19.40791,200,10x10,OPT,FALSE,equal,40.58,55.95
j.rndn,2,112,34.58187,300,34.1405,200,10x10,OPT,FALSE,equal,41.96,56.21
j.rndn,2,113,19.66463,300,19.59873,200,10x10,OPT,FALSE,equal,39.8,55.79
j.rndn,2,114,19.69738,300,19.60648,200,10x10,OPT,FALSE,equal,39.75,56.57
j.rndn,2,115,15.26888,300,15.29445,200,10x10,OPT,FALSE,equal,40.03,56.89
j.rndn,2,116,13.52182,300,13.67016,200,10x10,OPT,FALSE,equal,41.15,57.81
j.rndn,2,117,23.37158,300,24.00039,200,10x10,OPT,FALSE,equal,40.16,54.93
j.rndn,2,118,16.00737,300,16.35627,200,10x10,OPT,FALSE,equal,39.94,57.11
j.rndn,2,119,23.37158,300,24.00039,200,10x10,OPT,FALSE,equal,40.16,54.93
j.rndn,2,12,43.23834,300,41.83785,200,10x10,OPT,FALSE,equal,44.36,53.45
j.rndn,2,120,19.67282,300,19.60384,200,10x10,OPT,FALSE,equal,39.74,56.64
j.rndn,2,13,42.75175,300,41.5829,200,10x10,OPT,FALSE,equal,44.4,53.53
j.rndn,2,14,19.14161,300,19.11445,200,10x10,OPT,FALSE,equal,40.16,55.82
j.rndn,2,15,48.30029,300,47.55264,200,10x10,OPT,FALSE,equal,47.94,51.68
j.rndn,2,16,62.00804,300,62.25701,200,10x10,OPT,FALSE,equal,55.05,51.3
j.rndn,2,17,50.15622,300,50.183,200,10x10,OPT,FALSE,equal,48.54,54.37
j.rndn,2,18,51.0285,300,48.86355,200,10x10,OPT,FALSE,equal,48.71,54.78
j.rndn,2,19,33.41566,300,33.38671,200,10x10,OPT,FALSE,equal,41.7,55.54
j.rndn,2,2,27.33101,300,28.4281,200,10x10,OPT,FALSE,equal,44.93,54.32
j.rndn,2,20,49.96221,300,50.17779,200,10x10,OPT,FALSE,equal,48.53,54.37
j.rndn,2,21,56.68968,300,55.65275,200,10x10,OPT,FALSE,equal,53.76,52.14
j.rndn,2,22,50.68712,300,49.83929,200,10x10,OPT,FALSE,equal,50.15,50.37
j.rndn,2,23,29.82388,300,28.56507,200,10x10,OPT,FALSE,equal,44.3,54.22
j.rndn,2,24,26.27929,300,25.72607,200,10x10,OPT,FALSE,equal,44.74,54.36
j.rndn,2,25,18.83669,300,18.01215,200,10x10,OPT,FALSE,equal,40.04,55.56
j.rndn,2,26,21.84039,300,22.16696,200,10x10,OPT,FALSE,equal,43.91,51.39
j.rndn,2,27,51.38776,300,50.12762,200,10x10,OPT,FALSE,equal,50.24,51.63
j.rndn,2,28,58.83868,300,59.33602,200,10x10,OPT,FALSE,equal,54.4,50.81
j.rndn,2,29,46.11011,300,46.15723,200,10x10,OPT,FALSE,equal,49.69,52.59
j.rndn,2,3,27.21735,300,28.24175,200,10x10,OPT,FALSE,equal,44.91,54.32
j.rndn,2,30,25.91457,300,25.66454,200,10x10,OPT,FALSE,equal,43.11,54.3
j.rndn,2,31,23.83491,300,23.21509,200,10x10,OPT,FALSE,equal,43.35,54.74
j.rndn,2,32,18.95364,300,18.08112,200,10x10,OPT,FALSE,equal,39.96,56.34
j.rndn,2,33,46.90146,300,45.27366,200,10x10,OPT,FALSE,equal,52.45,50.6
j.rndn,2,34,44.204,300,43.42252,200,10x10,OPT,FALSE,equal,49.27,52.79
j.rndn,2,35,55.60176,300,55.99806,200,10x10,OPT,FALSE,equal,55.32,52.99
j.rndn,2,36,44.77118,300,45.89739,200,10x10,OPT,FALSE,equal,49.34,52.05
j.rndn,2,37,26.27929,300,25.72607,200,10x10,OPT,FALSE,equal,44.88,54.49
j.rndn,2,38,26.33342,300,26.48533,200,10x10,OPT,FALSE,equal,46.01,54.53
j.rndn,2,39,26.27929,300,25.72607,200,10x10,OPT,FALSE,equal,45.96,54.49
j.rndn,2,4,21.13087,300,21.16634,200,10x10,OPT,FALSE,equal,40,55.82
j.rndn,2,40,15.37895,300,14.85599,200,10x10,OPT,FALSE,equal,40.33,56.85
j.rndn,2,41,41.05128,300,39.65778,200,10x10,OPT,FALSE,equal,49.31,55.4
j.rndn,2,42,37.56638,300,36.09923,200,10x10,OPT,FALSE,equal,44.39,54.7
