Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,3,404,17.75882,268,18.14665,177,10x10,OPT,FALSE,equal,71.3,72.24
f.rnd,3,405,28.03574,268,28.05837,177,10x10,OPT,FALSE,equal,69.62,69.8
f.rnd,3,406,16.8915,268,17.25961,177,10x10,OPT,FALSE,equal,64.99,65.42
f.rnd,3,407,23.94234,268,23.56236,177,10x10,OPT,FALSE,equal,69.38,69.42
f.rnd,3,408,17.75882,268,18.14665,177,10x10,OPT,FALSE,equal,71.3,72.24
f.rnd,3,409,17.86707,268,17.51508,177,10x10,OPT,FALSE,equal,68.2,68.72
f.rnd,3,41,17.73953,268,17.84556,177,10x10,OPT,FALSE,equal,70.18,70.71
f.rnd,3,410,28.11472,268,30.30262,177,10x10,OPT,FALSE,equal,66.57,66.59
f.rnd,3,411,22.77921,268,22.7276,177,10x10,OPT,FALSE,equal,65.13,65.31
f.rnd,3,412,18.20558,268,17.9241,177,10x10,OPT,FALSE,equal,65,65.21
f.rnd,3,413,22.05717,268,22.13989,177,10x10,OPT,FALSE,equal,70.58,71.41
f.rnd,3,414,19.97765,268,20.6507,177,10x10,OPT,FALSE,equal,69.06,69.26
f.rnd,3,415,16.9035,268,17.7854,177,10x10,OPT,FALSE,equal,64.03,64.42
f.rnd,3,416,20.75638,268,20.56176,177,10x10,OPT,FALSE,equal,68.79,68.74
f.rnd,3,417,22.05717,268,22.13989,177,10x10,OPT,FALSE,equal,70.58,71.41
f.rnd,3,418,20.51663,268,20.58726,177,10x10,OPT,FALSE,equal,67.3,68.14
f.rnd,3,419,18.20558,268,17.9241,177,10x10,OPT,FALSE,equal,65,65.21
f.rnd,3,42,20.67728,268,20.59369,177,10x10,OPT,FALSE,equal,70.27,70.42
f.rnd,3,420,26.14241,268,25.64702,177,10x10,OPT,FALSE,equal,67.46,67.35
f.rnd,3,421,38.54057,268,38.71134,177,10x10,OPT,FALSE,equal,56.93,56.97
f.rnd,3,422,26.18067,268,26.42499,177,10x10,OPT,FALSE,equal,66.73,66.76
f.rnd,3,423,30.43741,268,30.40991,177,10x10,OPT,FALSE,equal,64.04,64.47
f.rnd,3,424,24.52733,268,24.42872,177,10x10,OPT,FALSE,equal,60.71,61.19
f.rnd,3,425,26.68895,268,26.0401,177,10x10,OPT,FALSE,equal,56.44,57.11
f.rnd,3,426,25.09048,268,25.14911,177,10x10,OPT,FALSE,equal,61.52,61.93
f.rnd,3,427,30.43741,268,30.40991,177,10x10,OPT,FALSE,equal,64.04,64.47
f.rnd,3,428,33.61412,268,33.64701,177,10x10,OPT,FALSE,equal,60.94,61.58
f.rnd,3,429,26.11831,268,26.64782,177,10x10,OPT,FALSE,equal,66.7,66.75
f.rnd,3,43,26.39394,268,25.87128,177,10x10,OPT,FALSE,equal,64.64,65.68
f.rnd,3,430,28.50415,268,28.26961,177,10x10,OPT,FALSE,equal,65.98,66.2
f.rnd,3,431,22.29266,268,22.35638,177,10x10,OPT,FALSE,equal,68.1,68.68
f.rnd,3,432,24.45265,268,23.95524,177,10x10,OPT,FALSE,equal,63.69,64.96
