Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
j.rnd,1,1,50.69946,300,52.00452,200,10x10,OPT,FALSE,opt,57.58,57.85
j.rnd,1,10,46.6027,300,44.70076,200,10x10,OPT,FALSE,opt,58.51,59
j.rnd,1,11,52.81068,300,51.8412,200,10x10,OPT,FALSE,opt,57.46,57.84
j.rnd,1,12,27.4637,300,27.03289,200,10x10,OPT,FALSE,opt,51.98,50.9
j.rnd,1,13,24.8298,300,24.85108,200,10x10,OPT,FALSE,opt,51.04,50.58
j.rnd,1,14,51.3634,300,52.32547,200,10x10,OPT,FALSE,opt,51.98,50.9
j.rnd,1,15,45.29231,300,47.75441,200,10x10,OPT,FALSE,opt,56.44,56.37
j.rnd,1,16,62.52731,300,64.68823,200,10x10,OPT,FALSE,opt,57.26,57.58
j.rnd,1,2,30.33559,300,30.36452,200,10x10,OPT,FALSE,opt,53.77,53.89
j.rnd,1,3,49.15118,300,51.1539,200,10x10,OPT,FALSE,opt,58.51,59
j.rnd,1,4,21.40596,300,22.1712,200,10x10,OPT,FALSE,opt,54.59,55.08
j.rnd,1,5,21.80793,300,22.12937,200,10x10,OPT,FALSE,opt,51.27,50.27
j.rnd,1,6,43.15636,300,42.21849,200,10x10,OPT,FALSE,opt,53.88,53.78
j.rnd,1,7,48.9898,300,49.68264,200,10x10,OPT,FALSE,opt,53.47,52.82
j.rnd,1,8,45.58902,300,45.03943,200,10x10,OPT,FALSE,opt,49.62,50.47
j.rnd,1,9,44.54528,300,43.94366,200,10x10,OPT,FALSE,opt,52.8,52.54
j.rnd,16,1,34.68176,300,33.78555,200,10x10,OPT,FALSE,opt,64.56,65.04
j.rnd,2,1,49.55298,300,50.7238,200,10x10,OPT,FALSE,opt,58.44,59.15
j.rnd,2,10,54.65765,300,52.48004,200,10x10,OPT,FALSE,opt,56.17,56.18
j.rnd,2,100,47.61906,300,45.89524,200,10x10,OPT,FALSE,opt,56.46,56.38
j.rnd,2,101,33.01323,300,32.66983,200,10x10,OPT,FALSE,opt,59.28,59.78
j.rnd,2,102,47.40994,300,46.23667,200,10x10,OPT,FALSE,opt,58.89,59.21
j.rnd,2,103,33.66676,300,32.73464,200,10x10,OPT,FALSE,opt,56.11,55.4
j.rnd,2,104,33.29661,300,32.97842,200,10x10,OPT,FALSE,opt,55.2,54.65
j.rnd,2,105,50.41111,300,53.22323,200,10x10,OPT,FALSE,opt,56.12,55.4
j.rnd,2,106,27.1877,300,26.94729,200,10x10,OPT,FALSE,opt,61.92,62.78
j.rnd,2,107,60.24046,300,58.42502,200,10x10,OPT,FALSE,opt,57.58,58.06
j.rnd,2,108,13.41857,300,14.17148,200,10x10,OPT,FALSE,opt,61.54,62.43
j.rnd,2,109,20.37724,300,20.48433,200,10x10,OPT,FALSE,opt,56.98,57.76
j.rnd,2,11,53.5271,300,52.84723,200,10x10,OPT,FALSE,opt,60.16,60.42
j.rnd,2,110,61.69504,300,62.26968,200,10x10,OPT,FALSE,opt,57.84,57.98
j.rnd,2,111,22.06197,300,21.98758,200,10x10,OPT,FALSE,opt,57.25,57.61
j.rnd,2,112,59.89546,300,59.99268,200,10x10,OPT,FALSE,opt,58.63,58.9
j.rnd,2,113,22.06222,300,21.97383,200,10x10,OPT,FALSE,opt,57.31,57.51
j.rnd,2,114,62.52731,300,64.68823,200,10x10,OPT,FALSE,opt,57.29,57.63
j.rnd,2,115,13.4095,300,14.28104,200,10x10,OPT,FALSE,opt,61.49,62.41
j.rnd,2,116,14.50299,300,15.15798,200,10x10,OPT,FALSE,opt,60.55,61.26
