Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
f.rnd,3,239,42.17705,268,42.45886,177,10x10,OPT,FALSE,wcs,63.99,65.03
f.rnd,3,24,20.02425,268,20.19211,177,10x10,OPT,FALSE,wcs,70.42,70.87
f.rnd,3,240,41.44,268,40.51782,177,10x10,OPT,FALSE,wcs,63.69,64.55
f.rnd,3,241,23.60029,268,22.84114,177,10x10,OPT,FALSE,wcs,63.16,64.37
f.rnd,3,242,40.69345,268,40.32632,177,10x10,OPT,FALSE,wcs,69.95,70.1
f.rnd,3,243,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,64.74,65.89
f.rnd,3,244,17.57147,268,17.89041,177,10x10,OPT,FALSE,wcs,70.21,70.82
f.rnd,3,245,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,64.71,65.82
f.rnd,3,246,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.62,63.4
f.rnd,3,247,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,63.02,64.5
f.rnd,3,248,24.39643,268,23.9412,177,10x10,OPT,FALSE,wcs,63.98,65.04
f.rnd,3,249,22.13004,268,21.95831,177,10x10,OPT,FALSE,wcs,68.14,68.84
f.rnd,3,25,40.38523,268,40.24848,177,10x10,OPT,FALSE,wcs,64.47,65.52
f.rnd,3,250,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,64.48,65.69
f.rnd,3,251,21.25796,268,21.1621,177,10x10,OPT,FALSE,wcs,68.73,69.27
f.rnd,3,252,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,67.09,68.19
f.rnd,3,253,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,62.43,63.26
f.rnd,3,254,25.23674,268,23.97709,177,10x10,OPT,FALSE,wcs,61.82,63.11
f.rnd,3,255,24.52227,268,23.9803,177,10x10,OPT,FALSE,wcs,62.82,63.81
f.rnd,3,256,41.22613,268,40.83252,177,10x10,OPT,FALSE,wcs,67.17,68.21
f.rnd,3,257,27.9461,268,28.8722,177,10x10,OPT,FALSE,wcs,68.67,69.49
f.rnd,3,258,42.54264,268,41.696,177,10x10,OPT,FALSE,wcs,68.63,69.44
f.rnd,3,259,21.12986,268,21.25448,177,10x10,OPT,FALSE,wcs,68.71,69.27
f.rnd,3,26,19.49206,268,19.74691,177,10x10,OPT,FALSE,wcs,71.05,71.46
f.rnd,3,260,17.46647,268,17.9129,177,10x10,OPT,FALSE,wcs,70.24,70.86
f.rnd,3,261,41.07232,268,40.64798,177,10x10,OPT,FALSE,wcs,70.2,70.58
f.rnd,3,262,43.72856,268,42.23904,177,10x10,OPT,FALSE,wcs,68.73,69.19
f.rnd,3,263,24.0784,268,23.75458,177,10x10,OPT,FALSE,wcs,69.92,70.29
f.rnd,3,264,38.77938,268,36.80849,177,10x10,OPT,FALSE,wcs,70.22,70.84
f.rnd,3,265,21.21862,268,21.27116,177,10x10,OPT,FALSE,wcs,68.73,69.29
f.rnd,3,266,21.50939,268,21.19263,177,10x10,OPT,FALSE,wcs,68.59,69.35
f.rnd,3,267,37.82484,268,36.74894,177,10x10,OPT,FALSE,wcs,67.84,68.54
f.rnd,3,268,21.19683,268,21.37645,177,10x10,OPT,FALSE,wcs,68.66,69.29
f.rnd,3,269,18.42203,268,19.04446,177,10x10,OPT,FALSE,wcs,69.19,69.93
f.rnd,3,27,44.92519,268,44.65865,177,10x10,OPT,FALSE,wcs,69.51,69.98
f.rnd,3,270,19.72596,268,20.67983,177,10x10,OPT,FALSE,wcs,69.37,69.84
f.rnd,3,271,21.31725,268,21.70291,177,10x10,OPT,FALSE,wcs,67.86,68.55
f.rnd,3,272,19.2272,268,19.63527,177,10x10,OPT,FALSE,wcs,69.11,69.71
f.rnd,3,273,18.42203,268,19.07997,177,10x10,OPT,FALSE,wcs,69.21,69.93
f.rnd,3,274,19.34417,268,20.76642,177,10x10,OPT,FALSE,wcs,68,68.68
f.rnd,3,275,44.59769,268,43.71172,177,10x10,OPT,FALSE,wcs,68.7,69.26
f.rnd,3,276,41.7612,268,40.84696,177,10x10,OPT,FALSE,wcs,68.4,68.77
f.rnd,3,277,24.45265,268,23.95524,177,10x10,OPT,FALSE,wcs,61.7,62.68
f.rnd,3,278,25.06122,268,25.47109,177,10x10,OPT,FALSE,wcs,68.78,69.16
