Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
j.rndn,1,1,52.08953,300,52.56241,200,10x10,OPT,FALSE,wcs,50.15,50.44
j.rndn,1,10,26.27929,300,25.72607,200,10x10,OPT,FALSE,wcs,44.87,54.48
j.rndn,1,11,52.89365,300,53.84758,200,10x10,OPT,FALSE,wcs,45.48,54.69
j.rndn,1,12,26.84431,300,26.98574,200,10x10,OPT,FALSE,wcs,42.36,52.14
j.rndn,1,13,25.35989,300,24.7682,200,10x10,OPT,FALSE,wcs,43.78,53.72
j.rndn,1,14,26.84431,300,26.98574,200,10x10,OPT,FALSE,wcs,42.36,52.14
j.rndn,1,15,46.76571,300,47.58957,200,10x10,OPT,FALSE,wcs,49.5,52.32
j.rndn,1,16,19.66463,300,19.59873,200,10x10,OPT,FALSE,wcs,39.84,55.82
j.rndn,1,2,52.82682,300,50.71796,200,10x10,OPT,FALSE,wcs,44.17,53.94
j.rndn,1,3,48.83527,300,49.9174,200,10x10,OPT,FALSE,wcs,44.66,54.43
j.rndn,1,4,18.83669,300,18.01215,200,10x10,OPT,FALSE,wcs,39.83,55.6
j.rndn,1,5,19.72568,300,19.53546,200,10x10,OPT,FALSE,wcs,40.74,52.42
j.rndn,1,6,51.81178,300,50.91532,200,10x10,OPT,FALSE,wcs,50.35,51.66
j.rndn,1,7,50.19722,300,49.2975,200,10x10,OPT,FALSE,wcs,55.08,49.59
j.rndn,1,8,45.88918,300,47.02589,200,10x10,OPT,FALSE,wcs,49.2,50.19
j.rndn,1,9,45.63891,300,45.39239,200,10x10,OPT,FALSE,wcs,49.47,52.04
j.rndn,16,1,54.81779,300,54.00072,200,10x10,OPT,FALSE,wcs,47.23,59.05
j.rndn,2,1,48.88381,300,49.88094,200,10x10,OPT,FALSE,wcs,44.78,54.44
j.rndn,2,10,57.96593,300,56.4827,200,10x10,OPT,FALSE,wcs,40.58,54.65
j.rndn,2,100,51.13072,300,50.14227,200,10x10,OPT,FALSE,wcs,49.5,52.32
j.rndn,2,101,48.55773,300,48.51271,200,10x10,OPT,FALSE,wcs,43.55,55.4
j.rndn,2,102,49.89366,300,50.30658,200,10x10,OPT,FALSE,wcs,45.38,55.93
j.rndn,2,103,46.93763,300,46.10808,200,10x10,OPT,FALSE,wcs,51.78,50.42
j.rndn,2,104,28.70378,300,27.06276,200,10x10,OPT,FALSE,wcs,43.19,54.51
j.rndn,2,105,46.64405,300,45.92099,200,10x10,OPT,FALSE,wcs,51.63,50.44
j.rndn,2,106,58.56833,300,57.84947,200,10x10,OPT,FALSE,wcs,39.89,55.91
j.rndn,2,107,62.18244,300,61.09489,200,10x10,OPT,FALSE,wcs,39.71,55.33
j.rndn,2,108,61.47268,300,60.49712,200,10x10,OPT,FALSE,wcs,39.64,55.48
j.rndn,2,109,19.66463,300,19.59873,200,10x10,OPT,FALSE,wcs,39.84,55.82
j.rndn,2,11,56.13093,300,54.33529,200,10x10,OPT,FALSE,wcs,50.23,51.89
j.rndn,2,110,31.13611,300,29.84062,200,10x10,OPT,FALSE,wcs,41.23,54.83
j.rndn,2,111,19.28509,300,19.22321,200,10x10,OPT,FALSE,wcs,40.41,55.95
j.rndn,2,112,32.30533,300,32.64876,200,10x10,OPT,FALSE,wcs,41.51,56.11
j.rndn,2,113,59.60308,300,57.53006,200,10x10,OPT,FALSE,wcs,39.8,55.79
j.rndn,2,114,59.60308,300,57.53006,200,10x10,OPT,FALSE,wcs,39.83,56.5
j.rndn,2,115,58.75936,300,57.39354,200,10x10,OPT,FALSE,wcs,39.96,56.88
j.rndn,2,116,13.78518,300,13.80608,200,10x10,OPT,FALSE,wcs,41.02,57.79
j.rndn,2,117,23.13986,300,23.39723,200,10x10,OPT,FALSE,wcs,40,55.02
j.rndn,2,118,15.93301,300,16.26884,200,10x10,OPT,FALSE,wcs,39.98,57.17
j.rndn,2,119,59.83884,300,58.62601,200,10x10,OPT,FALSE,wcs,39.96,55.03
j.rndn,2,12,42.26211,300,41.51591,200,10x10,OPT,FALSE,wcs,44.3,53.52
j.rndn,2,120,19.74836,300,19.68216,200,10x10,OPT,FALSE,wcs,39.78,56.53
j.rndn,2,13,42.74505,300,41.66791,200,10x10,OPT,FALSE,wcs,44.4,53.55
j.rndn,2,14,19.0063,300,18.8859,200,10x10,OPT,FALSE,wcs,39.99,55.87
j.rndn,2,15,46.416,300,45.79057,200,10x10,OPT,FALSE,wcs,46.51,51.54
j.rndn,2,16,61.64725,300,61.56535,200,10x10,OPT,FALSE,wcs,55.08,51.34
j.rndn,2,17,51.74006,300,51.57625,200,10x10,OPT,FALSE,wcs,48.4,54.5
j.rndn,2,18,48.52595,300,45.5791,200,10x10,OPT,FALSE,wcs,48.41,54.85
j.rndn,2,19,53.60858,300,50.28932,200,10x10,OPT,FALSE,wcs,41.55,55.51
j.rndn,2,2,26.84029,300,27.07998,200,10x10,OPT,FALSE,wcs,44.76,54.44
j.rndn,2,20,48.41726,300,47.39579,200,10x10,OPT,FALSE,wcs,48.37,54.52
j.rndn,2,21,55.88746,300,54.00207,200,10x10,OPT,FALSE,wcs,53.44,52.17
j.rndn,2,22,51.17349,300,50.50596,200,10x10,OPT,FALSE,wcs,49.9,50.34
j.rndn,2,23,29.82388,300,28.56507,200,10x10,OPT,FALSE,wcs,44.33,54.2
j.rndn,2,24,26.27929,300,25.72607,200,10x10,OPT,FALSE,wcs,44.74,54.36
j.rndn,2,25,18.83669,300,18.01215,200,10x10,OPT,FALSE,wcs,40.04,55.56
j.rndn,2,26,53.96423,300,54.95685,200,10x10,OPT,FALSE,wcs,42.51,51.04
j.rndn,2,27,51.38776,300,50.18686,200,10x10,OPT,FALSE,wcs,50.21,51.62
j.rndn,2,28,41.86546,300,42.80369,200,10x10,OPT,FALSE,wcs,54.38,50.86
j.rndn,2,29,46.11011,300,46.15723,200,10x10,OPT,FALSE,wcs,49.69,52.59
j.rndn,2,3,48.92617,300,49.88094,200,10x10,OPT,FALSE,wcs,44.87,54.34
j.rndn,2,30,52.9341,300,50.732,200,10x10,OPT,FALSE,wcs,43.07,54.02
j.rndn,2,31,23.92851,300,23.10043,200,10x10,OPT,FALSE,wcs,43.42,54.55
j.rndn,2,32,19.03711,300,18.17077,200,10x10,OPT,FALSE,wcs,39.98,56.35
j.rndn,2,33,45.63891,300,45.39239,200,10x10,OPT,FALSE,wcs,46.42,53.23
j.rndn,2,34,43.47095,300,42.86589,200,10x10,OPT,FALSE,wcs,49.29,52.74
j.rndn,2,35,52.78605,300,51.94554,200,10x10,OPT,FALSE,wcs,53.66,52.09
j.rndn,2,36,44.77118,300,45.89739,200,10x10,OPT,FALSE,wcs,49.34,52.05
j.rndn,2,37,25.00748,300,24.41805,200,10x10,OPT,FALSE,wcs,44.8,54.48
j.rndn,2,38,26.22355,300,26.39055,200,10x10,OPT,FALSE,wcs,45.76,54.52
j.rndn,2,39,43.17824,300,42.57142,200,10x10,OPT,FALSE,wcs,46.01,54.49
j.rndn,2,4,21.13087,300,21.16634,200,10x10,OPT,FALSE,wcs,40,55.82
j.rndn,2,40,54.84897,300,54.07412,200,10x10,OPT,FALSE,wcs,40.31,56.86
j.rndn,2,41,38.57629,300,39.24421,200,10x10,OPT,FALSE,wcs,49.09,55.39
j.rndn,2,42,51.79702,300,49.07347,200,10x10,OPT,FALSE,wcs,44.36,54.72
j.rndn,2,43,40.68066,300,39.70133,200,10x10,OPT,FALSE,wcs,47.67,55.36
j.rndn,2,44,46.34785,300,45.65914,200,10x10,OPT,FALSE,wcs,44.88,54.53
j.rndn,2,45,25.35147,300,24.79945,200,10x10,OPT,FALSE,wcs,43.65,55.34
j.rndn,2,46,48.62705,300,49.27365,200,10x10,OPT,FALSE,wcs,45.66,54.56
j.rndn,2,47,36.2951,300,35.86629,200,10x10,OPT,FALSE,wcs,49.69,55.54
j.rndn,2,48,32.35207,300,33.3302,200,10x10,OPT,FALSE,wcs,49.94,55.32
