Problem,NrFeat,Model,Training.Rho,NTrain,Validation.Rho,NTest,Dimension,Track,Scaled,Prob,Validation.Acc,Training.Acc
j.rnd,1,1,50.69946,300,52.00452,200,10x10,OPT,FALSE,equal,57.58,57.85
j.rnd,1,10,34.07653,300,32.9227,200,10x10,OPT,FALSE,equal,58.51,59
j.rnd,1,11,34.07653,300,32.9227,200,10x10,OPT,FALSE,equal,57.46,57.84
j.rnd,1,12,51.3634,300,52.32547,200,10x10,OPT,FALSE,equal,51.98,50.9
j.rnd,1,13,53.93418,300,55.10891,200,10x10,OPT,FALSE,equal,51.04,50.58
j.rnd,1,14,51.3634,300,52.32547,200,10x10,OPT,FALSE,equal,51.98,50.9
j.rnd,1,15,45.29231,300,47.75441,200,10x10,OPT,FALSE,equal,56.44,56.37
j.rnd,1,16,22.06197,300,21.98758,200,10x10,OPT,FALSE,equal,57.26,57.58
j.rnd,1,2,30.33559,300,30.36452,200,10x10,OPT,FALSE,equal,53.77,53.89
j.rnd,1,3,34.07653,300,32.9227,200,10x10,OPT,FALSE,equal,58.51,59
j.rnd,1,4,21.40596,300,22.1712,200,10x10,OPT,FALSE,equal,54.59,55.08
j.rnd,1,5,53.93418,300,55.10891,200,10x10,OPT,FALSE,equal,51.27,50.27
j.rnd,1,6,43.15636,300,42.21849,200,10x10,OPT,FALSE,equal,53.88,53.78
j.rnd,1,7,59.15003,300,58.26187,200,10x10,OPT,FALSE,equal,53.47,52.82
j.rnd,1,8,43.84536,300,46.04941,200,10x10,OPT,FALSE,equal,49.62,50.47
j.rnd,1,9,44.54528,300,43.94366,200,10x10,OPT,FALSE,equal,52.8,52.54
j.rnd,16,1,33.95791,300,33.80876,200,10x10,OPT,FALSE,equal,64.73,65.07
j.rnd,2,1,43.96873,300,44.00184,200,10x10,OPT,FALSE,equal,58.45,59.17
j.rnd,2,10,42.61529,300,42.63195,200,10x10,OPT,FALSE,equal,56.12,56.14
j.rnd,2,100,45.29231,300,47.75441,200,10x10,OPT,FALSE,equal,56.42,56.37
j.rnd,2,101,32.85166,300,32.98136,200,10x10,OPT,FALSE,equal,59.32,59.87
j.rnd,2,102,39.28343,300,41.37382,200,10x10,OPT,FALSE,equal,58.88,59.22
j.rnd,2,103,50.20562,300,53.63116,200,10x10,OPT,FALSE,equal,56.05,55.45
j.rnd,2,104,50.29889,300,50.99121,200,10x10,OPT,FALSE,equal,55.48,54.91
j.rnd,2,105,50.20562,300,53.63116,200,10x10,OPT,FALSE,equal,56.05,55.45
j.rnd,2,106,26.92844,300,27.16711,200,10x10,OPT,FALSE,equal,61.96,62.83
j.rnd,2,107,17.71193,300,17.43417,200,10x10,OPT,FALSE,equal,57.59,58.04
j.rnd,2,108,13.31596,300,14.03237,200,10x10,OPT,FALSE,equal,61.48,62.36
j.rnd,2,109,20.37724,300,20.48433,200,10x10,OPT,FALSE,equal,56.98,57.76
j.rnd,2,11,39.99839,300,40.87974,200,10x10,OPT,FALSE,equal,60.19,60.43
j.rnd,2,110,39.89522,300,40.88025,200,10x10,OPT,FALSE,equal,57.85,58.03
j.rnd,2,111,21.92684,300,21.62084,200,10x10,OPT,FALSE,equal,57.11,57.56
j.rnd,2,112,39.49863,300,40.35861,200,10x10,OPT,FALSE,equal,58.58,58.9
j.rnd,2,113,22.06197,300,21.98758,200,10x10,OPT,FALSE,equal,57.26,57.58
j.rnd,2,114,22.10846,300,22.47739,200,10x10,OPT,FALSE,equal,57.8,58.07
j.rnd,2,115,13.31398,300,14.00848,200,10x10,OPT,FALSE,equal,61.47,62.34
j.rnd,2,116,14.40874,300,14.98113,200,10x10,OPT,FALSE,equal,60.59,61.35
j.rnd,2,117,25.25577,300,24.96298,200,10x10,OPT,FALSE,equal,57.91,57.79
j.rnd,2,118,22.94353,300,22.8567,200,10x10,OPT,FALSE,equal,57.11,57.32
j.rnd,2,119,25.25577,300,24.96298,200,10x10,OPT,FALSE,equal,57.91,57.79
j.rnd,2,12,32.12836,300,32.1249,200,10x10,OPT,FALSE,equal,55.81,56
j.rnd,2,120,23.40537,300,23.18202,200,10x10,OPT,FALSE,equal,60.37,60.4
j.rnd,2,13,26.29658,300,27.98201,200,10x10,OPT,FALSE,equal,60.75,61.22
j.rnd,2,14,23.47452,300,23.88167,200,10x10,OPT,FALSE,equal,56.34,56.66
j.rnd,2,15,43.15636,300,42.21849,200,10x10,OPT,FALSE,equal,54.09,53.75
j.rnd,2,16,60.31097,300,58.71766,200,10x10,OPT,FALSE,equal,58.92,59.02
j.rnd,2,17,45.97557,300,46.62334,200,10x10,OPT,FALSE,equal,56.63,56.93
j.rnd,2,18,46.37738,300,47.27339,200,10x10,OPT,FALSE,equal,59.6,60.08
j.rnd,2,19,41.67654,300,44.24981,200,10x10,OPT,FALSE,equal,58.12,58.07
j.rnd,2,2,43.96653,300,44.00184,200,10x10,OPT,FALSE,equal,58.45,59.17
j.rnd,2,20,45.97557,300,46.62334,200,10x10,OPT,FALSE,equal,56.63,56.93
j.rnd,2,21,50.94871,300,50.4846,200,10x10,OPT,FALSE,equal,54.87,54.56
